Cycle,Injector,CostCurve,CurveSet
0,N140332_1,N140332_1,
0,N140333_1,N140333_1,
0,N140341_1,N140341_1,
0,N140341_2,N140341_2,
0,N140342_1,N140342_1,
0,N140342_2,N140342_2,
0,N140343_1,N140343_1,
0,N140343_2,N140343_2,
0,N140361_1,N140361_1,
0,N140362_1,N140362_1,
0,N140363_1,N140363_1,
0,N140374_1,N140374_1,
0,N140374_2,N140374_2,
0,N140375_1,N140375_1,
0,N140375_2,N140375_2,
0,N140377_1,N140377_1,
0,N150428_1,N150428_1,
0,N150429_1,N150429_1,
0,N150431_1,N150431_1,
0,N150433_1,N150433_1,
0,N150435_1,N150435_1,
0,N150436_1,N150436_1,
0,N150437_1,N150437_1,
0,N150439_1,N150439_1,
0,N150441_1,N150441_1,
0,N150442_1,N150442_1,
0,N150445_1,N150445_1,
0,N150446_1,N150446_1,
0,N150447_1,N150447_1,
0,N150448_1,N150448_1,
0,N150492_1,N150492_1,
0,N150496_1,N150496_1,
0,N150499_1,N150499_1,
0,N150502_1,N150502_1,
0,N150505_1,N150505_1,
0,N150507_1,N150507_1,
0,N150510_1,N150510_1,
0,N150512_1,N150512_1,
0,N150515_1,N150515_1,
0,N150517_1,N150517_1,
0,N150520_1,N150520_1,
0,N150524_1,N150524_1,
0,N150525_1,N150525_1,
0,N150528_1,N150528_1,
0,N150531_1,N150531_1,
0,N150534_1,N150534_1,
0,N150541_1,N150541_1,
0,N150541_2,N150541_2,
0,N150542_1,N150542_1,
0,N150543_1,N150543_1,
0,N150543_2,N150543_2,
0,N150544_1,N150544_1,
0,N150544_2,N150544_2,
0,N150545_1,N150545_1,
0,N150545_2,N150545_2,
0,N150546_1,N150546_1,
0,N150546_2,N150546_2,
0,N150547_1,N150547_1,
0,N150549_1,N150549_1,
0,N150552_1,N150552_1,
0,N150554_1,N150554_1,
0,N160208_1,N160208_1,
0,N160210_1,N160210_1,
0,N160263_1,N160263_1,
0,N160270_1,N160270_1,
0,N160273_1,N160273_1,
0,N160275_1,N160275_1,
0,N160278_1,N160278_1,
0,N160281_1,N160281_1,
0,N160286_1,N160286_1,
0,N160288_1,N160288_1,
0,N160291_1,N160291_1,
0,N160293_1,N160293_1,
0,N160294_1,N160294_1,
0,N160297_1,N160297_1,
0,N160298_1,N160298_1,
0,N160301_1,N160301_1,
0,N160303_1,N160303_1,
0,N170518_1,N170518_1,
0,N170519_1,N170519_1,
0,N170522_1,N170522_1,
0,N170523_1,N170523_1,
0,N170524_1,N170524_1,
0,N170525_1,N170525_1,
0,N170528_1,N170528_1,
0,N170529_1,N170529_1,
0,N170529_2,N170529_2,
0,N170530_1,N170530_1,
0,N170530_2,N170530_2,
0,N170535_1,N170535_1,
0,N170536_1,N170536_1,
0,N170577_1,N170577_1,
0,N170579_1,N170579_1,
0,N170583_1,N170583_1,
0,N180111_1,N180111_1,
0,N180114_1,N180114_1,
0,N180117_1,N180117_1,
0,N180119_1,N180119_1,
0,N180121_1,N180121_1,
0,N180123_1,N180123_1,
0,N180126_1,N180126_1,
0,N180128_1,N180128_1,
0,N180131_1,N180131_1,
0,N180134_1,N180134_1,
0,N180137_1,N180137_1,
0,N180140_1,N180140_1,
0,N180143_1,N180143_1,
0,N180145_1,N180145_1,
0,N190106_1,N190106_1,
0,N190114_1,N190114_1,
0,N190118_1,N190118_1,
0,N190120_1,N190120_1,
0,N190123_1,N190123_1,
0,N190124_1,N190124_1,
0,N190129_1,N190129_1,
0,N190132_1,N190132_1,
0,N190134_1,N190134_1,
0,N190136_1,N190136_1,
0,N190139_1,N190139_1,
0,N190142_1,N190142_1,
0,N190145_1,N190145_1,
0,N190147_1,N190147_1,
0,N190149_1,N190149_1,
0,N190152_1,N190152_1,
0,N190155_1,N190155_1,
0,N190157_1,N190157_1,
0,N190159_1,N190159_1,
0,N190162_1,N190162_1,
0,N190165_1,N190165_1,
0,N190167_1,N190167_1,
0,N190169_1,N190169_1,
0,N190172_1,N190172_1,
0,N190177_1,N190177_1,
0,N190182_1,N190182_1,
0,N190185_1,N190185_1,
0,N190190_1,N190190_1,
0,N190193_1,N190193_1,
0,N190196_1,N190196_1,
0,N190198_1,N190198_1,
0,N190201_1,N190201_1,
0,N190206_1,N190206_1,
0,N190209_1,N190209_1,
0,N200157_1,N200157_1,
0,N200172_1,N200172_1,
0,N200173_1,N200173_1,
0,N200174_1,N200174_1,
0,N200179_1,N200179_1,
0,N200181_1,N200181_1,
0,N200184_1,N200184_1,
0,N200186_1,N200186_1,
0,N200189_1,N200189_1,
0,N200192_1,N200192_1,
0,N200195_1,N200195_1,
0,N200195_2,N200195_2,
0,N200202_1,N200202_1,
0,N200202_2,N200202_2,
0,N200204_1,N200204_1,
0,N200207_1,N200207_1,
0,N210319_2,N210319_2,
0,N210320_1,N210320_1,
0,N210325_1,N210325_1,
0,N210325_2,N210325_2,
0,N210346_1,N210346_1,
0,N210349_1,N210349_1,
0,N210354_1,N210354_1,
0,N220123_1,N220123_1,
0,N220124_1,N220124_1,
0,N220125_1,N220125_1,
0,N220126_1,N220126_1,
0,N220127_1,N220127_1,
0,N220149_1,N220149_1,
0,N220151_1,N220151_1,
0,N220153_1,N220153_1,
0,N220156_1,N220156_1,
0,N220159_1,N220159_1,
0,N220169_1,N220169_1,
0,N220171_1,N220171_1,
0,N220174_1,N220174_1,
0,N220176_1,N220176_1,
0,N220178_1,N220178_1,
0,N220181_1,N220181_1,
0,N220183_1,N220183_1,
0,N220186_1,N220186_1,
0,N220191_2,N220191_2,
0,N220195_1,N220195_1,
0,N220199_1,N220199_1,
0,N220206_1,N220206_1,
0,N220209_1,N220209_1,
0,N220214_1,N220214_1,
0,N220216_1,N220216_1,
0,N220219_1,N220219_1,
0,N220222_1,N220222_1,
0,N220225_2,N220225_2,
0,N220228_1,N220228_1,
0,N220230_1,N220230_1,
0,N220234_1,N220234_1,
0,N220245_1,N220245_1,
0,N220250_1,N220250_1,
0,N220253_1,N220253_1,
0,N220256_1,N220256_1,
0,N230259_1,N230259_1,
0,N230260_1,N230260_1,
0,N230271_1,N230271_1,
0,N230272_1,N230272_1,
0,N230276_1,N230276_1,
0,N230281_1,N230281_1,
0,N230282_1,N230282_1,
0,N230293_2,N230293_2,
0,N240202_1,N240202_1,
0,N240202_2,N240202_2,
0,N240210_1,N240210_1,
0,N240214_1,N240214_1,
0,N240217_1,N240217_1,
0,N240219_1,N240219_1,
0,N240221_1,N240221_1,
0,N240222_1,N240222_1,
0,N240223_1,N240223_1,
0,N240225_1,N240225_1,
0,N240228_1,N240228_1,
0,N240230_1,N240230_1,
0,N240233_1,N240233_1,
0,N240236_1,N240236_1,
0,N240239_1,N240239_1,
0,N240241_1,N240241_1,
0,N240244_1,N240244_1,
0,N240248_1,N240248_1,
0,N240250_1,N240250_1,
0,N240255_1,N240255_1,
0,N240256_1,N240256_1,
0,N240258_1,N240258_1,
0,N240259_1,N240259_1,
0,N240260_1,N240260_1,
0,N240261_1,N240261_1,
0,N240266_1,N240266_1,
0,N240269_1,N240269_1,
0,N240272_1,N240272_1,
0,N240275_1,N240275_1,
0,N240278_2,N240278_2,
0,N240280_2,N240280_2,
0,N240282_1,N240282_1,
0,N240284_1,N240284_1,
0,N240285_1,N240285_1,
0,N240288_1,N240288_1,
0,N240291_1,N240291_1,
0,N240293_1,N240293_1,
0,N240296_1,N240296_1,
0,N240301_1,N240301_1,
0,N240304_1,N240304_1,
0,N240307_1,N240307_1,
0,N240312_1,N240312_1,
0,N240317_1,N240317_1,
0,N240320_1,N240320_1,
0,N250347_1,N250347_1,
0,N250348_1,N250348_1,
0,N250354_1,N250354_1,
0,N250358_1,N250358_1,
0,N250359_1,N250359_1,
0,N250360_1,N250360_1,
0,N250376_1,N250376_1,
0,N260208_1,N260208_1,
0,N260209_1,N260209_1,
0,N260210_1,N260210_1,
0,N260211_1,N260211_1,
0,N260212_1,N260212_1,
0,N260213_1,N260213_1,
0,N270212_1,N270212_1,
0,N270214_1,N270214_1,
0,N270215_1,N270215_1,
