Enode,Name,Busbar,Substation,Area,ReportNode
N110087,BAY CITY 1 3,,BAY CITY 1,,1
N110088,BAY CITY 1 4,,BAY CITY 1,,1
N110089,PALACIOS 1 1,,PALACIOS 1,,1
N110090,PALACIOS 1 2,,PALACIOS 1,,1
N110091,PALACIOS 1 3,,PALACIOS 1,,1
N110092,PALACIOS 1 4,,PALACIOS 1,,1
N110093,MIDFIELD 1 1,,MIDFIELD 1,,1
N110094,MIDFIELD 1 2,,MIDFIELD 1,,1
N110095,MIDFIELD 1 3,,MIDFIELD 1,,1
N110096,MIDFIELD 1 4,,MIDFIELD 1,,1
N110097,ELMATON 2 1,,ELMATON 2,,1
N110098,ELMATON 2 2,,ELMATON 2,,1
N110099,ELMATON 2 3,,ELMATON 2,,1
N110100,ELMATON 2 4,,ELMATON 2,,1
N110101,PALACIOS 2 1,,PALACIOS 2,,1
N110102,PALACIOS 2 2,,PALACIOS 2,,1
N110103,PALACIOS 2 3,,PALACIOS 2,,1
N110104,PALACIOS 2 4,,PALACIOS 2,,1
N110105,MATAGORDA 2 1,,MATAGORDA 2,,1
N110106,MATAGORDA 2 2,,MATAGORDA 2,,1
N110107,MATAGORDA 2 3,,MATAGORDA 2,,1
N110108,MATAGORDA 2 4,,MATAGORDA 2,,1
N110109,SWEENY 1 1,,SWEENY 1,,1
N110110,SWEENY 1 2,,SWEENY 1,,1
N110111,SWEENY 1 3,,SWEENY 1,,1
N110112,SWEENY 1 4,,SWEENY 1,,1
N110113,EDNA 2 1,,EDNA 2,,1
N110114,EDNA 2 2,,EDNA 2,,1
N110115,EDNA 2 3,,EDNA 2,,1
N110116,EDNA 2 4,,EDNA 2,,1
N110117,MARKHAM 1 1,,MARKHAM 1,,1
N110118,ALTAIR 1 1,,ALTAIR 1,,1
N110119,CEDAR LANE 2 1,,CEDAR LANE 2,,1
N110120,BAY CITY 2 1,,BAY CITY 2,,1
N110121,WADSWORTH 1 1,,WADSWORTH 1,,1
N110122,LA WARD 1 1,,LA WARD 1,,1
N110123,HUNGERFORD 2 1,,HUNGERFORD 2,,1
N110124,GARWOOD 1 1,,GARWOOD 1,,1
N110125,LANE CITY 2 1,,LANE CITY 2,,1
N110126,BAY CITY 3 1,,BAY CITY 3,,1
N110127,BAY CITY 3 2,,BAY CITY 3,,1
N110128,EL CAMPO 3 1,,EL CAMPO 3,,1
N110129,BROOKSHIRE 1 1,,BROOKSHIRE 1,,1
N110130,EAGLE LAKE 1 1,,EAGLE LAKE 1,,1
N110131,SEALY 1 1,,SEALY 1,,1
N110132,WHARTON 2 1,,WHARTON 2,,1
N110133,GANADO 2 1,,GANADO 2,,1
N110134,EL CAMPO 4 1,,EL CAMPO 4,,1
N110135,MARKHAM 2 1,,MARKHAM 2,,1
N110136,PALACIOS 3 1,,PALACIOS 3,,1
N110137,PATTISON 1 1,,PATTISON 1,,1
N110138,BAY CITY 4 1,,BAY CITY 4,,1
N110139,EDNA 3 1,,EDNA 3,,1
N110140,BROOKSHIRE 2 1,,BROOKSHIRE 2,,1
N110141,SAN FELIPE 1 1,,SAN FELIPE 1,,1
N110142,BROOKSHIRE 3 1,,BROOKSHIRE 3,,1
N110143,SEALY 2 1,,SEALY 2,,1
N110144,SAN FELIPE 2 1,,SAN FELIPE 2,,1
N110145,PRAIRIE VIEW 1 1,,PRAIRIE VIEW 1,,1
N110146,LISSIE 1 1,,LISSIE 1,,1
N110147,BROOKSHIRE 4 1,,BROOKSHIRE 4,,1
N110148,BROOKSHIRE 5 1,,BROOKSHIRE 5,,1
N110149,BROOKSHIRE 6 1,,BROOKSHIRE 6,,1
N110150,HOCKLEY 1 1,,HOCKLEY 1,,1
N110151,EAGLE LAKE 2 1,,EAGLE LAKE 2,,1
N110152,BROOKSHIRE 7 1,,BROOKSHIRE 7,,1
N110153,HOCKLEY 2 1,,HOCKLEY 2,,1
N110154,WALLER 1 1,,WALLER 1,,1
N110155,WALLER 2 1,,WALLER 2,,1
N110156,PATTISON 2 1,,PATTISON 2,,1
N110157,WALLIS 1 1,,WALLIS 1,,1
N110158,KATY 1 1,,KATY 1,,1
N110159,SEALY 3 1,,SEALY 3,,1
N110160,SEALY 4 1,,SEALY 4,,1
N110161,SEALY 4 2,,SEALY 4,,1
N110162,GALENA PARK 1 1,,GALENA PARK 1,,1
N110163,GALENA PARK 1 2,,GALENA PARK 1,,1
N110164,HUMBLE 1 1,,HUMBLE 1,,1
N110165,HUMBLE 2 1,,HUMBLE 2,,1
N110166,HUMBLE 2 2,,HUMBLE 2,,1
N110167,HUMBLE 3 1,,HUMBLE 3,,1
N110168,HOUSTON 1 1,,HOUSTON 1,,1
N110169,HUMBLE 4 1,,HUMBLE 4,,1
N110170,HUMBLE 4 2,,HUMBLE 4,,1
N110171,HUMBLE 5 1,,HUMBLE 5,,1
N110172,HUMBLE 6 1,,HUMBLE 6,,1
N110173,HUMBLE 6 2,,HUMBLE 6,,1
N110174,HOUSTON 2 1,,HOUSTON 2,,1
N110175,HOUSTON 2 2,,HOUSTON 2,,1
N110176,HUMBLE 7 1,,HUMBLE 7,,1
N110177,HUMBLE 7 2,,HUMBLE 7,,1
N110178,HUMBLE 8 1,,HUMBLE 8,,1
N110179,HOUSTON 3 1,,HOUSTON 3,,1
N110180,KATY 2 1,,KATY 2,,1
N110181,CYPRESS 1 1,,CYPRESS 1,,1
N110182,KATY 3 1,,KATY 3,,1
N110183,KATY 4 1,,KATY 4,,1
N110184,KATY 5 1,,KATY 5,,1
N110185,KATY 6 1,,KATY 6,,1
N110186,KATY 7 1,,KATY 7,,1
N110187,KATY 8 1,,KATY 8,,1
N110188,KATY 9 1,,KATY 9,,1
N110189,KATY 9 2,,KATY 9,,1
N110190,KATY 9 3,,KATY 9,,1
N110191,KATY 9 4,,KATY 9,,1
N110192,CYPRESS 2 1,,CYPRESS 2,,1
N110193,KATY 10 1,,KATY 10,,1
N110194,CYPRESS 3 1,,CYPRESS 3,,1
N110195,KATY 11 1,,KATY 11,,1
N110196,KATY 12 1,,KATY 12,,1
N110197,KATY 13 1,,KATY 13,,1
N110198,CYPRESS 4 1,,CYPRESS 4,,1
N110199,KATY 14 1,,KATY 14,,1
N110200,CYPRESS 5 1,,CYPRESS 5,,1
N110201,KATY 15 1,,KATY 15,,1
N110202,KATY 16 1,,KATY 16,,1
N110203,KATY 17 1,,KATY 17,,1
N110204,CYPRESS 6 1,,CYPRESS 6,,1
N110205,CYPRESS 7 1,,CYPRESS 7,,1
N110206,KATY 18 1,,KATY 18,,1
N110207,CYPRESS 8 1,,CYPRESS 8,,1
N110208,CYPRESS 9 1,,CYPRESS 9,,1
N110209,KATY 19 1,,KATY 19,,1
N110210,KATY 20 1,,KATY 20,,1
N110211,CYPRESS 10 1,,CYPRESS 10,,1
N110212,KATY 21 1,,KATY 21,,1
N110213,KATY 21 2,,KATY 21,,1
N110214,KATY 22 1,,KATY 22,,1
N110215,KATY 23 1,,KATY 23,,1
N110216,CYPRESS 11 1,,CYPRESS 11,,1
N110217,CYPRESS 12 1,,CYPRESS 12,,1
N110218,KATY 24 1,,KATY 24,,1
N110219,KATY 25 1,,KATY 25,,1
N110220,KATY 26 1,,KATY 26,,1
N110221,KATY 27 1,,KATY 27,,1
N110222,CYPRESS 13 1,,CYPRESS 13,,1
N110223,KATY 28 1,,KATY 28,,1
N110224,KATY 29 1,,KATY 29,,1
N110225,KATY 30 1,,KATY 30,,1
N110226,KATY 31 1,,KATY 31,,1
N110227,KATY 32 1,,KATY 32,,1
N110228,KATY 33 1,,KATY 33,,1
N110229,KATY 34 1,,KATY 34,,1
N110230,KATY 35 1,,KATY 35,,1
N110231,CYPRESS 14 1,,CYPRESS 14,,1
N110232,CYPRESS 15 1,,CYPRESS 15,,1
N110233,CYPRESS 16 1,,CYPRESS 16,,1
N110234,CYPRESS 17 1,,CYPRESS 17,,1
N110235,CYPRESS 18 1,,CYPRESS 18,,1
N110236,CYPRESS 19 1,,CYPRESS 19,,1
N110237,CYPRESS 20 1,,CYPRESS 20,,1
N110238,CYPRESS 21 1,,CYPRESS 21,,1
N110239,KATY 36 1,,KATY 36,,1
N110240,KATY 37 1,,KATY 37,,1
N110241,KATY 38 1,,KATY 38,,1
N110242,KATY 39 1,,KATY 39,,1
N110243,KATY 40 1,,KATY 40,,1
N110244,KATY 41 1,,KATY 41,,1
N110245,KATY 42 1,,KATY 42,,1
N110246,KATY 43 1,,KATY 43,,1
N110247,KATY 44 1,,KATY 44,,1
N110248,KATY 45 1,,KATY 45,,1
N110249,KATY 46 1,,KATY 46,,1
N110250,KATY 47 1,,KATY 47,,1
N110251,KATY 48 1,,KATY 48,,1
N110252,KATY 49 1,,KATY 49,,1
N110253,KATY 50 1,,KATY 50,,1
N110254,KATY 51 1,,KATY 51,,1
N110255,KATY 52 1,,KATY 52,,1
N110256,KATY 53 1,,KATY 53,,1
N110257,KATY 54 1,,KATY 54,,1
N110258,KATY 55 1,,KATY 55,,1
N110259,KATY 56 1,,KATY 56,,1
N110260,KATY 57 1,,KATY 57,,1
N110261,CYPRESS 22 1,,CYPRESS 22,,1
N110262,CYPRESS 23 1,,CYPRESS 23,,1
N110263,CYPRESS 23 2,,CYPRESS 23,,1
N110264,CYPRESS 24 1,,CYPRESS 24,,1
N110265,KATY 58 1,,KATY 58,,1
N110266,KATY 59 1,,KATY 59,,1
N110267,KATY 60 1,,KATY 60,,1
N110268,KATY 61 1,,KATY 61,,1
N110269,CYPRESS 25 1,,CYPRESS 25,,1
N110270,CYPRESS 26 1,,CYPRESS 26,,1
N110271,KATY 62 1,,KATY 62,,1
N110272,KATY 63 1,,KATY 63,,1
N110273,KATY 64 1,,KATY 64,,1
N110274,KATY 64 2,,KATY 64,,1
N110275,CYPRESS 27 1,,CYPRESS 27,,1
N110276,KATY 65 1,,KATY 65,,1
N110277,KATY 66 1,,KATY 66,,1
N110278,CYPRESS 28 1,,CYPRESS 28,,1
N110279,KATY 67 1,,KATY 67,,1
N110280,CYPRESS 29 1,,CYPRESS 29,,1
N110281,CYPRESS 30 1,,CYPRESS 30,,1
N110282,KATY 68 1,,KATY 68,,1
N110283,KATY 69 1,,KATY 69,,1
N110284,KATY 70 1,,KATY 70,,1
N110285,KATY 71 1,,KATY 71,,1
N110286,CYPRESS 31 1,,CYPRESS 31,,1
N110287,KATY 72 1,,KATY 72,,1
N110288,HITCHCOCK 1 1,,HITCHCOCK 1,,1
N110289,HITCHCOCK 2 1,,HITCHCOCK 2,,1
N110290,HITCHCOCK 2 2,,HITCHCOCK 2,,1
N110291,HITCHCOCK 3 1,,HITCHCOCK 3,,1
N110292,HITCHCOCK 3 2,,HITCHCOCK 3,,1
N110293,NEW CANEY 1 1,,NEW CANEY 1,,1
N110294,NEW CANEY 1 2,,NEW CANEY 1,,1
N110295,SPLENDORA 1 1,,SPLENDORA 1,,1
N110296,SPLENDORA 1 2,,SPLENDORA 1,,1
N110297,SPLENDORA 1 3,,SPLENDORA 1,,1
N110298,SPLENDORA 1 4,,SPLENDORA 1,,1
N110299,SPLENDORA 2 1,,SPLENDORA 2,,1
N110300,PORTER 1 1,,PORTER 1,,1
N110301,PORTER 2 1,,PORTER 2,,1
N110302,SPLENDORA 3 1,,SPLENDORA 3,,1
N110303,SPLENDORA 4 1,,SPLENDORA 4,,1
N110304,NEW CANEY 2 1,,NEW CANEY 2,,1
N110305,NEW CANEY 3 1,,NEW CANEY 3,,1
N110306,PORTER 3 1,,PORTER 3,,1
N110307,HUFFMAN 1 1,,HUFFMAN 1,,1
N110308,SPLENDORA 5 1,,SPLENDORA 5,,1
N110309,NEW CANEY 4 1,,NEW CANEY 4,,1
N110310,NEW CANEY 4 2,,NEW CANEY 4,,1
N110311,PORTER 4 1,,PORTER 4,,1
N110312,PORTER 5 1,,PORTER 5,,1
N110313,BELLAIRE 1 1,,BELLAIRE 1,,1
N110314,BELLAIRE 2 1,,BELLAIRE 2,,1
N110315,HOUSTON 4 1,,HOUSTON 4,,1
N110316,BELLAIRE 3 1,,BELLAIRE 3,,1
N110317,BELLAIRE 4 1,,BELLAIRE 4,,1
N110318,BELLAIRE 4 2,,BELLAIRE 4,,1
N110319,BELLAIRE 5 1,,BELLAIRE 5,,1
N110320,BELLAIRE 6 1,,BELLAIRE 6,,1
N110321,BELLAIRE 7 1,,BELLAIRE 7,,1
N110322,BELLAIRE 8 1,,BELLAIRE 8,,1
N110323,BELLAIRE 9 1,,BELLAIRE 9,,1
N110324,BELLAIRE 10 1,,BELLAIRE 10,,1
N110325,BELLAIRE 11 1,,BELLAIRE 11,,1
N110326,BELLAIRE 11 2,,BELLAIRE 11,,1
N110327,BELLAIRE 12 1,,BELLAIRE 12,,1
N110328,BELLAIRE 13 1,,BELLAIRE 13,,1
N110329,BELLAIRE 14 1,,BELLAIRE 14,,1
N110330,BELLAIRE 14 2,,BELLAIRE 14,,1
N110331,BELLAIRE 15 1,,BELLAIRE 15,,1
N110332,BELLAIRE 15 2,,BELLAIRE 15,,1
N110333,BELLAIRE 16 1,,BELLAIRE 16,,1
N110334,BELLAIRE 17 1,,BELLAIRE 17,,1
N110335,BELLAIRE 17 2,,BELLAIRE 17,,1
N110336,BELLAIRE 18 1,,BELLAIRE 18,,1
N110337,BELLAIRE 18 2,,BELLAIRE 18,,1
N110338,BELLAIRE 19 1,,BELLAIRE 19,,1
N110339,BELLAIRE 19 2,,BELLAIRE 19,,1
N110340,ALVIN 1 1,,ALVIN 1,,1
N110341,ALVIN 1 2,,ALVIN 1,,1
N110342,ALVIN 1 3,,ALVIN 1,,1
N110343,ALVIN 1 4,,ALVIN 1,,1
N110344,ALVIN 2 1,,ALVIN 2,,1
N110345,MANVEL 1 1,,MANVEL 1,,1
N110346,MANVEL 2 1,,MANVEL 2,,1
N110347,ALVIN 3 1,,ALVIN 3,,1
N110348,LIVERPOOL 1 1,,LIVERPOOL 1,,1
N110349,ALVIN 4 1,,ALVIN 4,,1
N110350,FRIENDSWOOD 1 1,,FRIENDSWOOD 1,,1
N110351,LIVERPOOL 2 1,,LIVERPOOL 2,,1
N110352,LIVERPOOL 3 1,,LIVERPOOL 3,,1
N110353,CONROE 1 1,,CONROE 1,,1
N110354,CONROE 1 2,,CONROE 1,,1
N110355,CONROE 2 1,,CONROE 2,,1
N110356,CONROE 3 1,,CONROE 3,,1
N110357,CONROE 4 1,,CONROE 4,,1
N110358,CONROE 4 2,,CONROE 4,,1
N110359,CONROE 5 1,,CONROE 5,,1
N110360,CONROE 6 1,,CONROE 6,,1
N110361,CONROE 7 1,,CONROE 7,,1
N110362,CONROE 8 1,,CONROE 8,,1
N110363,SPLENDORA 6 1,,SPLENDORA 6,,1
N110364,CONROE 9 1,,CONROE 9,,1
N110365,CONROE 10 1,,CONROE 10,,1
N110366,CONROE 10 2,,CONROE 10,,1
N110367,TOMBALL 1 1,,TOMBALL 1,,1
N110368,TOMBALL 2 1,,TOMBALL 2,,1
N110369,TOMBALL 2 2,,TOMBALL 2,,1
N110370,MAGNOLIA 1 1,,MAGNOLIA 1,,1
N110371,MAGNOLIA 2 1,,MAGNOLIA 2,,1
N110372,TOMBALL 3 1,,TOMBALL 3,,1
N110373,MAGNOLIA 3 1,,MAGNOLIA 3,,1
N110374,MAGNOLIA 4 1,,MAGNOLIA 4,,1
N110375,MAGNOLIA 5 1,,MAGNOLIA 5,,1
N110376,MAGNOLIA 5 2,,MAGNOLIA 5,,1
N110377,CONROE 11 1,,CONROE 11,,1
N110378,CONROE 12 1,,CONROE 12,,1
N110379,TOMBALL 4 1,,TOMBALL 4,,1
N110380,TOMBALL 5 1,,TOMBALL 5,,1
N110381,TOMBALL 6 1,,TOMBALL 6,,1
N110382,TOMBALL 6 2,,TOMBALL 6,,1
N110383,MAGNOLIA 6 1,,MAGNOLIA 6,,1
N110384,MAGNOLIA 6 2,,MAGNOLIA 6,,1
N110385,NEW WAVERLY 1 1,,NEW WAVERLY 1,,1
N110386,WILLIS 1 1,,WILLIS 1,,1
N110387,HIGHLANDS 1 1,,HIGHLANDS 1,,1
N110388,HIGHLANDS 1 2,,HIGHLANDS 1,,1
N110389,BAYTOWN 1 1,,BAYTOWN 1,,1
N110390,BAYTOWN 2 1,,BAYTOWN 2,,1
N110391,BAYTOWN 3 1,,BAYTOWN 3,,1
N110392,BAYTOWN 4 1,,BAYTOWN 4,,1
N110393,BAYTOWN 4 2,,BAYTOWN 4,,1
N110394,MONT BELVIEU 1 1,,MONT BELVIEU 1,,1
N110395,MONT BELVIEU 2 1,,MONT BELVIEU 2,,1
N110396,MONT BELVIEU 2 2,,MONT BELVIEU 2,,1
N110397,MONT BELVIEU 2 3,,MONT BELVIEU 2,,1
N110398,MONT BELVIEU 2 4,,MONT BELVIEU 2,,1
N110399,BAYTOWN 5 1,,BAYTOWN 5,,1
N110400,HIGHLANDS 2 1,,HIGHLANDS 2,,1
N110401,BAYTOWN 6 1,,BAYTOWN 6,,1
N110402,MONT BELVIEU 3 1,,MONT BELVIEU 3,,1
N110403,WALLISVILLE 1 1,,WALLISVILLE 1,,1
N110404,BAYTOWN 7 1,,BAYTOWN 7,,1
N110405,BAYTOWN 7 2,,BAYTOWN 7,,1
N110406,BAYTOWN 8 1,,BAYTOWN 8,,1
N110407,GALENA PARK 2 1,,GALENA PARK 2,,1
N110408,CHANNELVIEW 1 1,,CHANNELVIEW 1,,1
N110409,CHANNELVIEW 2 1,,CHANNELVIEW 2,,1
N110410,GALENA PARK 3 1,,GALENA PARK 3,,1
N110411,GALENA PARK 3 2,,GALENA PARK 3,,1
N110412,GALENA PARK 3 3,,GALENA PARK 3,,1
N110413,GALENA PARK 3 4,,GALENA PARK 3,,1
N110414,CHANNELVIEW 3 1,,CHANNELVIEW 3,,1
N110415,CHANNELVIEW 3 2,,CHANNELVIEW 3,,1
N110416,CHANNELVIEW 4 1,,CHANNELVIEW 4,,1
N110417,CHANNELVIEW 5 1,,CHANNELVIEW 5,,1
N110418,CHANNELVIEW 5 2,,CHANNELVIEW 5,,1
N110419,CHANNELVIEW 5 3,,CHANNELVIEW 5,,1
N110420,CHANNELVIEW 6 1,,CHANNELVIEW 6,,1
N110421,CHANNELVIEW 7 1,,CHANNELVIEW 7,,1
N110422,CHANNELVIEW 7 2,,CHANNELVIEW 7,,1
N110423,CHANNELVIEW 8 1,,CHANNELVIEW 8,,1
N110424,GALENA PARK 4 1,,GALENA PARK 4,,1
N110425,GALENA PARK 5 1,,GALENA PARK 5,,1
N110426,GALENA PARK 6 1,,GALENA PARK 6,,1
N110427,CHANNELVIEW 9 1,,CHANNELVIEW 9,,1
N110428,CHANNELVIEW 10 1,,CHANNELVIEW 10,,1
N110429,CHANNELVIEW 11 1,,CHANNELVIEW 11,,1
N110430,CHANNELVIEW 11 2,,CHANNELVIEW 11,,1
N110431,GALENA PARK 7 1,,GALENA PARK 7,,1
N110432,WEBSTER 1 1,,WEBSTER 1,,1
N110433,WEBSTER 1 2,,WEBSTER 1,,1
N110434,WEBSTER 1 3,,WEBSTER 1,,1
N110435,WEBSTER 1 4,,WEBSTER 1,,1
N110436,WEBSTER 2 1,,WEBSTER 2,,1
N110437,WEBSTER 3 1,,WEBSTER 3,,1
N110438,KEMAH 1 1,,KEMAH 1,,1
N110439,KEMAH 1 2,,KEMAH 1,,1
N110440,SEABROOK 1 1,,SEABROOK 1,,1
N110441,SEABROOK 1 2,,SEABROOK 1,,1
N110442,SEABROOK 1 3,,SEABROOK 1,,1
N110443,SEABROOK 1 4,,SEABROOK 1,,1
N110444,SEABROOK 1 5,,SEABROOK 1,,1
N110445,WEBSTER 4 1,,WEBSTER 4,,1
N110446,WEBSTER 4 2,,WEBSTER 4,,1
N110447,KEMAH 2 1,,KEMAH 2,,1
N110448,WEBSTER 5 1,,WEBSTER 5,,1
N110449,LEAGUE CITY 1 1,,LEAGUE CITY 1,,1
N110450,LEAGUE CITY 1 2,,LEAGUE CITY 1,,1
N110451,SEABROOK 2 1,,SEABROOK 2,,1
N110452,FRIENDSWOOD 2 1,,FRIENDSWOOD 2,,1
N110453,LEAGUE CITY 2 1,,LEAGUE CITY 2,,1
N110454,LEAGUE CITY 3 1,,LEAGUE CITY 3,,1
N110455,KEMAH 3 1,,KEMAH 3,,1
N110456,KEMAH 4 1,,KEMAH 4,,1
N110457,BACLIFF 1 1,,BACLIFF 1,,1
N110458,LEAGUE CITY 4 1,,LEAGUE CITY 4,,1
N110459,LEAGUE CITY 4 2,,LEAGUE CITY 4,,1
N110460,DICKINSON 1 1,,DICKINSON 1,,1
N110461,SEABROOK 3 1,,SEABROOK 3,,1
N110462,FRIENDSWOOD 3 1,,FRIENDSWOOD 3,,1
N110463,FRIENDSWOOD 3 2,,FRIENDSWOOD 3,,1
N110464,PEARLAND 1 1,,PEARLAND 1,,1
N110465,PEARLAND 2 1,,PEARLAND 2,,1
N110466,PEARLAND 2 2,,PEARLAND 2,,1
N110467,PEARLAND 3 1,,PEARLAND 3,,1
N110468,SOUTH HOUSTON 1 1,,SOUTH HOUSTON 1,,1
N110469,PEARLAND 4 1,,PEARLAND 4,,1
N110470,PEARLAND 5 1,,PEARLAND 5,,1
N110471,PEARLAND 6 1,,PEARLAND 6,,1
N110472,FRIENDSWOOD 4 1,,FRIENDSWOOD 4,,1
N110473,WEBSTER 6 1,,WEBSTER 6,,1
N110474,PEARLAND 7 1,,PEARLAND 7,,1
N110475,WEBSTER 7 1,,WEBSTER 7,,1
N110476,PEARLAND 8 1,,PEARLAND 8,,1
N110477,FRIENDSWOOD 5 1,,FRIENDSWOOD 5,,1
N110478,FRIENDSWOOD 6 1,,FRIENDSWOOD 6,,1
N110479,FRIENDSWOOD 7 1,,FRIENDSWOOD 7,,1
N110480,FRIENDSWOOD 8 1,,FRIENDSWOOD 8,,1
N110481,FRIENDSWOOD 8 2,,FRIENDSWOOD 8,,1
N110482,FRIENDSWOOD 9 1,,FRIENDSWOOD 9,,1
N110483,FRIENDSWOOD 9 2,,FRIENDSWOOD 9,,1
N110484,CLUTE 1 1,,CLUTE 1,,1
N110485,CLUTE 1 2,,CLUTE 1,,1
N110486,FREEPORT 1 1,,FREEPORT 1,,1
N110487,CLUTE 2 1,,CLUTE 2,,1
N110488,CLUTE 3 1,,CLUTE 3,,1
N110489,LAKE JACKSON 1 1,,LAKE JACKSON 1,,1
N110490,LAKE JACKSON 2 1,,LAKE JACKSON 2,,1
N110491,BRAZORIA 1 1,,BRAZORIA 1,,1
N110492,CLUTE 4 1,,CLUTE 4,,1
N110493,CLUTE 4 2,,CLUTE 4,,1
N110494,BRAZORIA 2 1,,BRAZORIA 2,,1
N110495,BRAZORIA 2 2,,BRAZORIA 2,,1
N110496,BEASLEY 1 1,,BEASLEY 1,,1
N110497,SIMONTON 1 1,,SIMONTON 1,,1
N110498,ORCHARD 1 1,,ORCHARD 1,,1
N110499,KENDLETON 2 1,,KENDLETON 2,,1
N110500,FULSHEAR 1 1,,FULSHEAR 1,,1
N110501,FULSHEAR 1 2,,FULSHEAR 1,,1
