Branch,Name,FrEnode,ToEnode,Circuit,Voltage,Resistance,Reactance,NormalLimit,CtgLimit,Enforce,Monitor,Penalty,AngleLimit,HVDC,CID,PriceCID
N110132_N110065_1,,N110132,N110065,,138.000,0.00000000,0.02824000,271.800,271.800,0,0,0.000,0.000,0,,0
N110065_N110729_1,,N110065,N110729,,138.000,0.00000000,0.03007000,361.600,361.600,0,0,0.000,0.000,0,,0
N110065_N110729_2,,N110065,N110729,,138.000,0.00000000,0.03007000,361.600,361.600,0,0,0.000,0.000,0,,0
N111363_N110065_1,,N111363,N110065,,138.000,0.00000000,0.02599000,331.000,331.000,0,0,0.000,0.000,0,,0
N111363_N110065_2,,N111363,N110065,,138.000,0.00000000,0.02599000,331.000,331.000,0,0,0.000,0.000,0,,0
N110069_N110135_1,,N110069,N110135,,138.000,0.00000000,0.04731000,270.900,270.900,0,0,0.000,0.000,0,,0
N110069_N111411_1,,N110069,N111411,,138.000,0.00000000,0.01919000,266.100,266.100,0,0,0.000,0.000,0,,0
N110073_N110125_1,,N110073,N110125,,138.000,0.00000000,0.03250000,294.500,294.500,0,0,0.000,0.000,0,,0
N110073_N110127_1,,N110073,N110127,,138.000,0.00000000,0.02501000,347.600,347.600,0,0,0.000,0.000,0,,0
N110073_N110127_2,,N110073,N110127,,138.000,0.00000000,0.02501000,347.600,347.600,0,0,0.000,0.000,0,,0
N110073_N110128_1,,N110073,N110128,,138.000,0.00000000,0.02508000,251.500,251.500,0,0,0.000,0.000,0,,0
N110077_N110125_1,,N110077,N110125,,138.000,0.00000000,0.04807000,256.600,256.600,0,0,0.000,0.000,0,,0
N110093_N110081_1,,N110093,N110081,,138.000,0.00000000,0.01972000,271.200,271.200,0,0,0.000,0.000,0,,0
N110081_N110097_1,,N110081,N110097,,138.000,0.00000000,0.01418000,268.000,268.000,0,0,0.000,0.000,0,,0
N110085_N110109_1,,N110085,N110109,,138.000,0.00000000,0.02736000,258.300,258.300,0,0,0.000,0.000,0,,0
N110085_N110135_1,,N110085,N110135,,138.000,0.00000000,0.03078000,261.800,261.800,0,0,0.000,0.000,0,,0
N110089_N110105_1,,N110089,N110105,,138.000,0.00000000,0.07485000,250.600,250.600,0,0,0.000,0.000,0,,0
N110089_N110117_1,,N110089,N110117,,138.000,0.00000000,0.08111000,259.500,259.500,0,0,0.000,0.000,0,,0
N110136_N110089_1,,N110136,N110089,,138.000,0.00000000,0.02680000,280.100,280.100,0,0,0.000,0.000,0,,0
N110093_N110117_1,,N110093,N110117,,138.000,0.00000000,0.01387000,293.700,293.700,0,0,0.000,0.000,0,,0
N110122_N110093_1,,N110122,N110093,,138.000,0.00000000,0.03847000,319.400,319.400,0,0,0.000,0.000,0,,0
N110093_N160128_1,,N110093,N160128,,138.000,0.00000000,0.09925000,294.000,294.000,0,0,0.000,0.000,0,,0
N110097_N110127_1,,N110097,N110127,,138.000,0.00000000,0.03299000,265.300,265.300,0,0,0.000,0.000,0,,0
N110101_N160120_1,,N110101,N160120,,138.000,0.00000000,0.03647000,290.900,290.900,0,0,0.000,0.000,0,,0
N110568_N110109_1,,N110568,N110109,,138.000,0.00000000,0.01750000,258.000,258.000,0,0,0.000,0.000,0,,0
N110139_N110113_1,,N110139,N110113,,138.000,0.00000000,0.00739000,307.600,307.600,0,0,0.000,0.000,0,,0
N110117_N110138_1,,N110117,N110138,,138.000,0.00000000,0.02448000,309.600,309.600,0,0,0.000,0.000,0,,0
N110130_N110118_1,,N110130,N110118,,138.000,0.00000000,0.02074000,316.000,316.000,0,0,0.000,0.000,0,,0
N110130_N110118_2,,N110130,N110118,,138.000,0.00000000,0.02074000,316.000,316.000,0,0,0.000,0.000,0,,0
N110119_N110138_1,,N110119,N110138,,138.000,0.00000000,0.02482000,270.600,270.600,0,0,0.000,0.000,0,,0
N110119_N110725_1,,N110119,N110725,,138.000,0.00000000,0.09647000,270.100,270.100,0,0,0.000,0.000,0,,0
N110127_N110120_1,,N110127,N110120,,138.000,0.00000000,0.00737000,305.100,305.100,0,0,0.000,0.000,0,,0
N110138_N110120_1,,N110138,N110120,,138.000,0.00000000,0.01996000,304.600,304.600,0,0,0.000,0.000,0,,0
N110121_N110127_1,,N110121,N110127,,138.000,0.00000000,0.04474000,274.500,274.500,0,0,0.000,0.000,0,,0
N110133_N110122_1,,N110133,N110122,,138.000,0.00000000,0.04218000,337.000,337.000,0,0,0.000,0.000,0,,0
N110122_N160169_1,,N110122,N160169,,138.000,0.00000000,0.03591000,355.500,355.500,0,0,0.000,0.000,0,,0
N110122_N160169_2,,N110122,N160169,,138.000,0.00000000,0.03591000,355.500,355.500,0,0,0.000,0.000,0,,0
N110123_N110151_1,,N110123,N110151,,138.000,0.00000000,0.02351000,282.300,282.300,0,0,0.000,0.000,0,,0
N110123_N110500_1,,N110123,N110500,,138.000,0.00000000,0.02609000,292.200,292.200,0,0,0.000,0.000,0,,0
N230062_N110124_1,,N230062,N110124,,138.000,0.00000000,0.01802000,273.200,273.200,0,0,0.000,0.000,0,,0
N110124_N270044_1,,N110124,N270044,,138.000,0.00000000,0.02160000,229.900,229.900,0,0,0.000,0.000,0,,0
N111411_N110125_1,,N111411,N110125,,138.000,0.00000000,0.00474000,305.300,305.300,0,0,0.000,0.000,0,,0
N110126_N111216_1,,N110126,N111216,,345.000,0.00000000,0.00494000,1371.200,1371.200,0,1,0.000,0.000,0,,0
N110126_N111305_1,,N110126,N111305,,345.000,0.00000000,0.01124000,1166.300,1166.300,0,1,0.000,0.000,0,,0
N111389_N110126_1,,N111389,N110126,,345.000,0.00000000,0.01366000,1310.800,1310.800,0,1,0.000,0.000,0,,0
N110126_N160264_1,,N110126,N160264,,345.000,0.00000000,0.01872000,1245.400,1245.400,0,1,0.000,0.000,0,,0
N110128_N110134_1,,N110128,N110134,,138.000,0.00000000,0.00569000,239.200,239.200,0,0,0.000,0.000,0,,0
N110129_N110144_1,,N110129,N110144,,138.000,0.00000000,0.01356000,281.100,281.100,0,0,0.000,0.000,0,,0
N110129_N110147_1,,N110129,N110147,,138.000,0.00000000,0.01521000,254.000,254.000,0,0,0.000,0.000,0,,0
N110146_N110130_1,,N110146,N110130,,138.000,0.00000000,0.03435000,302.000,302.000,0,0,0.000,0.000,0,,0
N110151_N110130_1,,N110151,N110130,,138.000,0.00000000,0.00380000,285.300,285.300,0,0,0.000,0.000,0,,0
N230041_N110130_1,,N230041,N110130,,138.000,0.00000000,0.03217000,267.100,267.100,0,0,0.000,0.000,0,,0
N110159_N110131_1,,N110159,N110131,,138.000,0.00000000,0.00585000,288.300,288.300,0,0,0.000,0.000,0,,0
N110131_N110161_1,,N110131,N110161,,138.000,0.00000000,0.01426000,293.700,293.700,0,0,0.000,0.000,0,,0
N111363_N110132_1,,N111363,N110132,,138.000,0.00000000,0.01389000,311.300,311.300,0,0,0.000,0.000,0,,0
N110135_N110138_1,,N110135,N110138,,138.000,0.00000000,0.00550000,302.900,302.900,0,0,0.000,0.000,0,,0
N110136_N160102_1,,N110136,N160102,,138.000,0.00000000,0.03442000,285.700,285.700,0,0,0.000,0.000,0,,0
N110137_N110152_1,,N110137,N110152,,138.000,0.00000000,0.02057000,236.500,236.500,0,0,0.000,0.000,0,,0
N110137_N110156_1,,N110137,N110156,,138.000,0.00000000,0.01399000,244.400,244.400,0,0,0.000,0.000,0,,0
N270084_N110139_1,,N270084,N110139,,138.000,0.00000000,0.03350000,307.900,307.900,0,0,0.000,0.000,0,,0
N110140_N110148_1,,N110140,N110148,,138.000,0.00000000,0.01500000,252.700,252.700,0,0,0.000,0.000,0,,0
N110140_N110149_1,,N110140,N110149,,138.000,0.00000000,0.01506000,244.300,244.300,0,0,0.000,0.000,0,,0
N110144_N110141_1,,N110144,N110141,,138.000,0.00000000,0.00998000,282.300,282.300,0,0,0.000,0.000,0,,0
N110141_N110149_1,,N110141,N110149,,138.000,0.00000000,0.01111000,241.100,241.100,0,0,0.000,0.000,0,,0
N110141_N110159_1,,N110141,N110159,,138.000,0.00000000,0.00960000,287.400,287.400,0,0,0.000,0.000,0,,0
N110142_N110147_1,,N110142,N110147,,138.000,0.00000000,0.01236000,274.100,274.100,0,0,0.000,0.000,0,,0
N110142_N111407_1,,N110142,N111407,,138.000,0.00000000,0.04495000,275.800,275.800,0,0,0.000,0.000,0,,0
N110143_N110807_1,,N110143,N110807,,138.000,0.00000000,0.01898000,307.900,307.900,0,0,0.000,0.000,0,,0
N111405_N110143_1,,N111405,N110143,,138.000,0.00000000,0.01283000,308.800,308.800,0,0,0.000,0.000,0,,0
N110145_N110212_1,,N110145,N110212,,138.000,0.00000000,0.03795000,350.000,350.000,0,0,0.000,0.000,0,,0
N110145_N230058_1,,N110145,N230058,,138.000,0.00000000,0.03560000,283.900,283.900,0,0,0.000,0.000,0,,0
N230064_N110145_1,,N230064,N110145,,138.000,0.00000000,0.01706000,266.100,266.100,0,0,0.000,0.000,0,,0
N110146_N110157_1,,N110146,N110157,,138.000,0.00000000,0.01801000,301.600,301.600,0,0,0.000,0.000,0,,0
N110147_N110158_1,,N110147,N110158,,138.000,0.00000000,0.02558000,274.300,274.300,0,0,0.000,0.000,0,,0
N110148_N110152_1,,N110148,N110152,,138.000,0.00000000,0.02593000,232.300,232.300,0,0,0.000,0.000,0,,0
N110148_N110591_1,,N110148,N110591,,138.000,0.00000000,0.03589000,279.400,279.400,0,0,0.000,0.000,0,,0
N110148_N230037_1,,N110148,N230037,,138.000,0.00000000,0.05284000,284.100,284.100,0,0,0.000,0.000,0,,0
N110959_N110150_1,,N110959,N110150,,138.000,0.00000000,0.01312000,281.500,281.500,0,0,0.000,0.000,0,,0
N110150_N110966_1,,N110150,N110966,,138.000,0.00000000,0.01805000,304.500,304.500,0,0,0.000,0.000,0,,0
N110150_N230053_1,,N110150,N230053,,138.000,0.00000000,0.01686000,276.400,276.400,0,0,0.000,0.000,0,,0
N110150_N230096_1,,N110150,N230096,,138.000,0.00000000,0.00998000,269.500,269.500,0,0,0.000,0.000,0,,0
N110153_N110959_1,,N110153,N110959,,138.000,0.00000000,0.01827000,276.500,276.500,0,0,0.000,0.000,0,,0
N110966_N110153_1,,N110966,N110153,,138.000,0.00000000,0.01905000,273.700,273.700,0,0,0.000,0.000,0,,0
N110155_N110154_1,,N110155,N110154,,138.000,0.00000000,0.01048000,326.400,326.400,0,0,0.000,0.000,0,,0
N110155_N110154_2,,N110155,N110154,,138.000,0.00000000,0.01048000,326.400,326.400,0,0,0.000,0.000,0,,0
N110154_N230111_1,,N110154,N230111,,138.000,0.00000000,0.01564000,328.900,328.900,0,0,0.000,0.000,0,,0
N110154_N230111_2,,N110154,N230111,,138.000,0.00000000,0.01564000,328.900,328.900,0,0,0.000,0.000,0,,0
N110155_N110262_1,,N110155,N110262,,138.000,0.00000000,0.08048000,323.800,323.800,0,0,0.000,0.000,0,,0
N110155_N110262_2,,N110155,N110262,,138.000,0.00000000,0.08048000,323.800,323.800,0,0,0.000,0.000,0,,0
N110156_N111405_1,,N110156,N111405,,138.000,0.00000000,0.02985000,248.300,248.300,0,0,0.000,0.000,0,,0
N111407_N110157_1,,N111407,N110157,,138.000,0.00000000,0.00646000,275.600,275.600,0,0,0.000,0.000,0,,0
N110579_N110158_1,,N110579,N110158,,138.000,0.00000000,0.02186000,273.400,273.400,0,0,0.000,0.000,0,,0
N110160_N111389_1,,N110160,N111389,,345.000,0.00000000,0.01601000,1233.700,1233.700,0,1,0.000,0.000,0,,0
N110160_N230072_1,,N110160,N230072,,345.000,0.00000000,0.01416000,1131.100,1131.100,0,1,0.000,0.000,0,,0
N110161_N230039_1,,N110161,N230039,,138.000,0.00000000,0.01302000,282.400,282.400,0,0,0.000,0.000,0,,0
N110161_N230065_1,,N110161,N230065,,138.000,0.00000000,0.01680000,278.100,278.100,0,0,0.000,0.000,0,,0
N111182_N110162_1,,N111182,N110162,,138.000,0.00000000,0.02119000,288.000,288.000,0,0,0.000,0.000,0,,0
N110163_N110167_1,,N110163,N110167,,69.000,0.00000000,0.03669000,138.300,138.300,0,0,0.000,0.000,0,,0
N110163_N110179_1,,N110163,N110179,,69.000,0.00000000,0.03278000,138.300,138.300,0,0,0.000,0.000,0,,0
N110164_N110171_1,,N110164,N110171,,69.000,0.00000000,0.01485000,155.200,155.200,0,0,0.000,0.000,0,,0
N110164_N110173_1,,N110164,N110173,,69.000,0.00000000,0.01119000,145.500,145.500,0,0,0.000,0.000,0,,0
N110176_N110165_1,,N110176,N110165,,138.000,0.00000000,0.01159000,313.200,313.200,0,0,0.000,0.000,0,,0
N110165_N110743_1,,N110165,N110743,,138.000,0.00000000,0.02048000,334.200,334.200,0,0,0.000,0.000,0,,0
N110165_N110743_2,,N110165,N110743,,138.000,0.00000000,0.02048000,334.200,334.200,0,0,0.000,0.000,0,,0
N110166_N110171_1,,N110166,N110171,,69.000,0.00000000,0.02446000,135.200,135.200,0,0,0.000,0.000,0,,0
N110166_N110178_1,,N110166,N110178,,69.000,0.00000000,0.04787000,107.600,107.600,0,0,0.000,0.000,0,,0
N110166_N110871_1,,N110166,N110871,,69.000,0.00000000,0.03450000,126.500,126.500,0,0,0.000,0.000,0,,0
N110167_N110168_1,,N110167,N110168,,69.000,0.00000000,0.02791000,111.700,111.700,0,0,0.000,0.000,0,,0
N110167_N110177_1,,N110167,N110177,,69.000,0.00000000,0.03842000,119.700,119.700,0,0,0.000,0.000,0,,0
N110178_N110167_1,,N110178,N110167,,69.000,0.00000000,0.02572000,103.300,103.300,0,0,0.000,0.000,0,,0
N110168_N110424_1,,N110168,N110424,,69.000,0.00000000,0.05247000,123.600,123.600,0,0,0.000,0.000,0,,0
N110168_N110694_1,,N110168,N110694,,69.000,0.00000000,0.03182000,133.000,133.000,0,0,0.000,0.000,0,,0
N110168_N110755_1,,N110168,N110755,,69.000,0.00000000,0.11565000,109.600,109.600,0,0,0.000,0.000,0,,0
N110169_N110174_1,,N110169,N110174,,138.000,0.00000000,0.01221000,254.400,254.400,0,0,0.000,0.000,0,,0
N110178_N110170_1,,N110178,N110170,,69.000,0.00000000,0.01925000,121.800,121.800,0,0,0.000,0.000,0,,0
N110171_N110177_1,,N110171,N110177,,69.000,0.00000000,0.03263000,122.200,122.200,0,0,0.000,0.000,0,,0
N110171_N110178_1,,N110171,N110178,,69.000,0.00000000,0.03582000,87.100,87.100,0,0,0.000,0.000,0,,0
N110176_N110172_1,,N110176,N110172,,138.000,0.00000000,0.01655000,306.600,306.600,0,0,0.000,0.000,0,,0
N110172_N110824_1,,N110172,N110824,,138.000,0.00000000,0.01026000,286.600,286.600,0,0,0.000,0.000,0,,0
N110173_N110705_1,,N110173,N110705,,69.000,0.00000000,0.03983000,130.600,130.600,0,0,0.000,0.000,0,,0
N110173_N110825_1,,N110173,N110825,,69.000,0.00000000,0.01661000,131.500,131.500,0,0,0.000,0.000,0,,0
N110174_N111182_1,,N110174,N111182,,138.000,0.00000000,0.02856000,294.600,294.600,0,0,0.000,0.000,0,,0
N110175_N110179_1,,N110175,N110179,,69.000,0.00000000,0.02428000,125.200,125.200,0,0,0.000,0.000,0,,0
N110175_N110692_1,,N110175,N110692,,69.000,0.00000000,0.05854000,109.700,109.700,0,0,0.000,0.000,0,,0
N110175_N110698_1,,N110175,N110698,,69.000,0.00000000,0.03535000,132.800,132.800,0,0,0.000,0.000,0,,0
N110175_N110705_1,,N110175,N110705,,69.000,0.00000000,0.03464000,142.600,142.600,0,0,0.000,0.000,0,,0
N110175_N110706_1,,N110175,N110706,,69.000,0.00000000,0.06626000,112.900,112.900,0,0,0.000,0.000,0,,0
N110760_N110177_1,,N110760,N110177,,69.000,0.00000000,0.04321000,150.900,150.900,0,0,0.000,0.000,0,,0
N110179_N110846_1,,N110179,N110846,,69.000,0.00000000,0.11929000,96.200,96.200,0,0,0.000,0.000,0,,0
N110187_N110180_1,,N110187,N110180,,69.000,0.00000000,0.01327000,112.100,112.100,0,0,0.000,0.000,0,,0
N110180_N111015_1,,N110180,N111015,,69.000,0.00000000,0.00943000,107.300,107.300,0,0,0.000,0.000,0,,0
N110181_N110246_1,,N110181,N110246,,69.000,0.00000000,0.00794000,128.500,128.500,0,0,0.000,0.000,0,,0
N110181_N110278_1,,N110181,N110278,,69.000,0.00000000,0.00697000,130.300,130.300,0,0,0.000,0.000,0,,0
N110182_N110184_1,,N110182,N110184,,69.000,0.00000000,0.00787000,134.100,134.100,0,0,0.000,0.000,0,,0
N110182_N110995_1,,N110182,N110995,,69.000,0.00000000,0.01978000,128.400,128.400,0,0,0.000,0.000,0,,0
N110184_N110183_1,,N110184,N110183,,69.000,0.00000000,0.00784000,111.000,111.000,0,0,0.000,0.000,0,,0
N110183_N110196_1,,N110183,N110196,,69.000,0.00000000,0.00573000,120.500,120.500,0,0,0.000,0.000,0,,0
N110184_N110200_1,,N110184,N110200,,69.000,0.00000000,0.01238000,70.300,70.300,0,0,0.000,0.000,0,,0
N110202_N110184_1,,N110202,N110184,,69.000,0.00000000,0.00680000,137.400,137.400,0,0,0.000,0.000,0,,0
N110184_N110207_1,,N110184,N110207,,69.000,0.00000000,0.01664000,81.900,81.900,0,0,0.000,0.000,0,,0
N110185_N110213_1,,N110185,N110213,,69.000,0.00000000,0.00730000,125.200,125.200,0,0,0.000,0.000,0,,0
N110282_N110185_1,,N110282,N110185,,69.000,0.00000000,0.01233000,120.500,120.500,0,0,0.000,0.000,0,,0
N110186_N110214_1,,N110186,N110214,,69.000,0.00000000,0.00929000,136.600,136.600,0,0,0.000,0.000,0,,0
N110186_N110220_1,,N110186,N110220,,69.000,0.00000000,0.00807000,101.300,101.300,0,0,0.000,0.000,0,,0
N110226_N110186_1,,N110226,N110186,,69.000,0.00000000,0.01354000,124.100,124.100,0,0,0.000,0.000,0,,0
N110187_N110281_1,,N110187,N110281,,69.000,0.00000000,0.00864000,122.300,122.300,0,0,0.000,0.000,0,,0
N110588_N110188_1,,N110588,N110188,,138.000,0.00000000,0.01015000,234.300,234.300,0,0,0.000,0.000,0,,0
N110189_N110276_1,,N110189,N110276,,69.000,0.00000000,0.00483000,121.800,121.800,0,0,0.000,0.000,0,,0
N110205_N110192_1,,N110205,N110192,,69.000,0.00000000,0.00481000,129.700,129.700,0,0,0.000,0.000,0,,0
N110192_N111015_1,,N110192,N111015,,69.000,0.00000000,0.00973000,124.900,124.900,0,0,0.000,0.000,0,,0
N110193_N110201_1,,N110193,N110201,,69.000,0.00000000,0.00779000,105.300,105.300,0,0,0.000,0.000,0,,0
N110193_N110263_1,,N110193,N110263,,69.000,0.00000000,0.00974000,112.600,112.600,0,0,0.000,0.000,0,,0
N110194_N110275_1,,N110194,N110275,,69.000,0.00000000,0.00726000,100.000,100.000,0,0,0.000,0.000,0,,0
N110280_N110194_1,,N110280,N110194,,69.000,0.00000000,0.01076000,102.500,102.500,0,0,0.000,0.000,0,,0
N110194_N110286_1,,N110194,N110286,,69.000,0.00000000,0.00404000,125.900,125.900,0,0,0.000,0.000,0,,0
N110195_N110204_1,,N110195,N110204,,69.000,0.00000000,0.00941000,120.900,120.900,0,0,0.000,0.000,0,,0
N110224_N110195_1,,N110224,N110195,,69.000,0.00000000,0.00531000,116.700,116.700,0,0,0.000,0.000,0,,0
N110196_N110229_1,,N110196,N110229,,69.000,0.00000000,0.00540000,129.000,129.000,0,0,0.000,0.000,0,,0
N110196_N110268_1,,N110196,N110268,,69.000,0.00000000,0.00836000,128.700,128.700,0,0,0.000,0.000,0,,0
N110277_N110196_1,,N110277,N110196,,69.000,0.00000000,0.00604000,124.200,124.200,0,0,0.000,0.000,0,,0
N110197_N110201_1,,N110197,N110201,,69.000,0.00000000,0.00689000,112.500,112.500,0,0,0.000,0.000,0,,0
N110197_N110211_1,,N110197,N110211,,69.000,0.00000000,0.02373000,85.600,85.600,0,0,0.000,0.000,0,,0
N110197_N110265_1,,N110197,N110265,,69.000,0.00000000,0.01316000,108.100,108.100,0,0,0.000,0.000,0,,0
N110198_N110263_1,,N110198,N110263,,69.000,0.00000000,0.00699000,110.200,110.200,0,0,0.000,0.000,0,,0
N110198_N110997_1,,N110198,N110997,,69.000,0.00000000,0.08259000,103.100,103.100,0,0,0.000,0.000,0,,0
N110249_N110199_1,,N110249,N110199,,69.000,0.00000000,0.01537000,117.900,117.900,0,0,0.000,0.000,0,,0
N110199_N110258_1,,N110199,N110258,,69.000,0.00000000,0.00839000,112.200,112.200,0,0,0.000,0.000,0,,0
N110200_N110208_1,,N110200,N110208,,69.000,0.00000000,0.02058000,86.800,86.800,0,0,0.000,0.000,0,,0
N110201_N111013_1,,N110201,N111013,,69.000,0.00000000,0.01251000,111.600,111.600,0,0,0.000,0.000,0,,0
N110261_N110202_1,,N110261,N110202,,69.000,0.00000000,0.00550000,138.800,138.800,0,0,0.000,0.000,0,,0
N110203_N110254_1,,N110203,N110254,,69.000,0.00000000,0.00982000,104.300,104.300,0,0,0.000,0.000,0,,0
N110259_N110203_1,,N110259,N110203,,69.000,0.00000000,0.00851000,109.800,109.800,0,0,0.000,0.000,0,,0
N110264_N110204_1,,N110264,N110204,,69.000,0.00000000,0.00877000,127.400,127.400,0,0,0.000,0.000,0,,0
N110204_N111046_1,,N110204,N111046,,69.000,0.00000000,0.01438000,134.800,134.800,0,0,0.000,0.000,0,,0
N110205_N110281_1,,N110205,N110281,,69.000,0.00000000,0.00662000,132.800,132.800,0,0,0.000,0.000,0,,0
N110206_N110239_1,,N110206,N110239,,69.000,0.00000000,0.01394000,113.400,113.400,0,0,0.000,0.000,0,,0
N110282_N110206_1,,N110282,N110206,,69.000,0.00000000,0.00919000,119.700,119.700,0,0,0.000,0.000,0,,0
N110207_N110252_1,,N110207,N110252,,69.000,0.00000000,0.01631000,91.600,91.600,0,0,0.000,0.000,0,,0
N110208_N110278_1,,N110208,N110278,,69.000,0.00000000,0.01205000,98.800,98.800,0,0,0.000,0.000,0,,0
N110230_N110209_1,,N110230,N110209,,69.000,0.00000000,0.00877000,116.100,116.100,0,0,0.000,0.000,0,,0
N110209_N110253_1,,N110209,N110253,,69.000,0.00000000,0.00948000,100.600,100.600,0,0,0.000,0.000,0,,0
N110256_N110209_1,,N110256,N110209,,69.000,0.00000000,0.01173000,123.600,123.600,0,0,0.000,0.000,0,,0
N110210_N110255_1,,N110210,N110255,,69.000,0.00000000,0.00627000,119.600,119.600,0,0,0.000,0.000,0,,0
N110210_N110258_1,,N110210,N110258,,69.000,0.00000000,0.01182000,126.500,126.500,0,0,0.000,0.000,0,,0
N110211_N110217_1,,N110211,N110217,,69.000,0.00000000,0.01387000,97.600,97.600,0,0,0.000,0.000,0,,0
N110213_N110238_1,,N110213,N110238,,69.000,0.00000000,0.00651000,144.600,144.600,0,0,0.000,0.000,0,,0
N110242_N110213_1,,N110242,N110213,,69.000,0.00000000,0.01371000,125.500,125.500,0,0,0.000,0.000,0,,0
N110243_N110213_1,,N110243,N110213,,69.000,0.00000000,0.01130000,131.800,131.800,0,0,0.000,0.000,0,,0
N110213_N110279_1,,N110213,N110279,,69.000,0.00000000,0.00866000,121.300,121.300,0,0,0.000,0.000,0,,0
