Injector,Name,Area,LoadFlag,Link,MaxMw,MinMw,RaiseRR,LowerRR,MinTime,RampSuSd,EnergyCost,CostAdder,RampUpCost,RampDnCost
N111281_1,Texas City Power Plant GEN2,,0,0,104.000,0.000,3.120,3.120,0.000,0,26.242,0.000,0.000,0.000
N111282_1,Texas City Power Plant GEN3,,0,0,104.000,0.000,3.120,3.120,0.000,0,26.242,0.000,0.000,0.000
N111283_1,Texas City Power Plant GEN4,,0,0,104.000,0.000,3.120,3.120,0.000,0,26.242,0.000,0.000,0.000
N111286_1,Freeport Energy G-66,,0,0,95.600,0.000,2.868,2.868,0.000,0,25.314,0.000,0.000,0.000
N111287_1,Freeport Energy G-67,,0,0,95.600,0.000,2.868,2.868,0.000,0,25.314,0.000,0.000,0.000
N111288_1,Freeport Energy G-65,,0,0,95.200,0.000,2.856,2.856,0.000,0,25.314,0.000,0.000,0.000
N111289_1,Freeport Energy G-61,,0,0,68.300,0.000,2.049,2.049,0.000,0,25.314,0.000,0.000,0.000
N111290_1,Freeport Energy G-63,,0,0,68.300,0.000,2.049,2.049,0.000,0,25.314,0.000,0.000,0.000
N111292_1,Freeport Energy G-37,,0,0,59.200,0.000,3.984,3.984,0.000,0,36.741,0.000,0.000,0.000
N111295_1,Power Station 4 GEN1,,0,0,69.000,0.000,2.070,2.070,0.000,0,31.915,0.000,0.000,0.000
N111296_1,Power Station 4 GEN2,,0,0,69.000,0.000,2.070,2.070,0.000,0,31.915,0.000,0.000,0.000
N111301_1,Oyster Creek Unit VIII G84,,0,0,160.000,0.000,4.800,4.800,0.000,0,27.398,0.000,0.000,0.000
N111302_1,Oyster Creek Unit VIII G81,,0,0,73.000,0.000,2.190,2.190,0.000,0,27.398,0.000,0.000,0.000
N111303_1,Oyster Creek Unit VIII G82,,0,0,73.000,0.000,2.190,2.190,0.000,0,27.398,0.000,0.000,0.000
N111304_1,Oyster Creek Unit VIII G83,,0,0,73.000,0.000,2.190,2.190,0.000,0,27.398,0.000,0.000,0.000
N111306_1,Sweeny Cogen Facility GEN1,,0,0,109.000,0.000,7.336,7.336,0.000,0,32.008,0.000,0.000,0.000
N111307_1,Sweeny Cogen Facility GEN2,,0,0,109.000,0.000,7.336,7.336,0.000,0,32.008,0.000,0.000,0.000
N111308_1,Sweeny Cogen Facility GEN3,,0,0,109.000,0.000,7.336,7.336,0.000,0,32.008,0.000,0.000,0.000
N111309_1,Sweeny Cogen Facility GEN4,,0,0,109.000,0.000,7.336,7.336,0.000,0,32.008,0.000,0.000,0.000
N111312_1,Pasadena Cogeneration CTG1,,0,0,165.000,0.000,4.950,4.950,0.000,0,29.277,0.000,0.000,0.000
N111313_1,Pasadena Cogeneration CTG2,,0,0,165.000,0.000,4.950,4.950,0.000,0,29.277,0.000,0.000,0.000
N111314_1,Pasadena Cogeneration CTG3,,0,0,165.000,0.000,4.950,4.950,0.000,0,29.277,0.000,0.000,0.000
N111315_1,Pasadena Cogeneration STG2,,0,0,165.000,0.000,4.950,4.950,0.000,0,29.277,0.000,0.000,0.000
N111316_1,Pasadena Cogeneration STG1,,0,0,60.000,0.000,2.000,2.000,0.000,0,29.277,0.000,0.000,0.000
N111318_1,Channelview Cogeneration Plant GT1,,0,0,162.000,0.000,4.860,4.860,0.000,0,26.529,0.000,0.000,0.000
N111319_1,Channelview Cogeneration Plant GT2,,0,0,162.000,0.000,4.860,4.860,0.000,0,26.529,0.000,0.000,0.000
N111320_1,Channelview Cogeneration Plant GT3,,0,0,163.000,0.000,4.890,4.890,0.000,0,26.529,0.000,0.000,0.000
N111321_1,Channelview Cogeneration Plant GT4,,0,0,161.000,0.000,4.830,4.830,0.000,0,26.529,0.000,0.000,0.000
N111322_1,Channelview Cogeneration Plant ST1,,0,0,136.000,0.000,4.080,4.080,0.000,0,26.529,0.000,0.000,0.000
N111324_1,Channel Energy Center LLC ST-1,,0,0,215.000,0.000,6.450,6.450,0.000,0,21.945,0.000,0.000,0.000
N111325_1,Channel Energy Center LLC CTG1,,0,0,185.000,0.000,5.550,5.550,0.000,0,21.945,0.000,0.000,0.000
N111326_1,Channel Energy Center LLC CTG2,,0,0,185.000,0.000,5.550,5.550,0.000,0,21.945,0.000,0.000,0.000
N111327_1,Channel Energy Center LLC CTG3,,0,0,183.000,0.000,5.490,5.490,0.000,0,21.945,0.000,0.000,0.000
N111330_1,BASF Freeport Works GEN1,,0,0,75.000,0.000,5.048,5.048,0.000,0,25.744,0.000,0.000,0.000
N111333_1,Baytown Energy Center STG1,,0,0,275.000,0.000,8.250,8.250,0.000,0,27.407,0.000,0.000,0.000
N111334_1,Baytown Energy Center CTG1,,0,0,175.000,0.000,5.250,5.250,0.000,0,27.407,0.000,0.000,0.000
N111336_1,Baytown Energy Center CTG3,,0,0,175.000,0.000,5.250,5.250,0.000,0,27.407,0.000,0.000,0.000
N111339_1,Jack Fusco Energy Center STG1,,0,0,193.000,0.000,5.790,5.790,0.000,0,0.000,0.000,0.000,0.000
N111340_1,Jack Fusco Energy Center CTG1,,0,0,166.000,0.000,4.980,4.980,0.000,0,0.000,0.000,0.000,0.000
N111341_1,Jack Fusco Energy Center CTG2,,0,0,166.000,0.000,4.980,4.980,0.000,0,0.000,0.000,0.000,0.000
N111343_1,Exelon LaPorte Generating Station GT1,,0,0,38.000,0.000,2.557,2.557,0.000,0,0.000,0.000,0.000,0.000
N111344_1,Exelon LaPorte Generating Station GT3,,0,0,38.000,0.000,2.557,2.557,0.000,0,0.000,0.000,0.000,0.000
N111344_2,Exelon LaPorte Generating Station GT2,,0,0,38.000,0.000,2.557,2.557,0.000,0,0.000,0.000,0.000,0.000
N111345_1,Exelon LaPorte Generating Station GT4,,0,0,38.000,0.000,2.557,2.557,0.000,0,0.000,0.000,0.000,0.000
N111347_1,Deer Park Energy Center STG1,,0,0,282.000,0.000,8.460,8.460,0.000,0,27.097,0.000,0.000,0.000
N111348_1,Deer Park Energy Center CTG1,,0,0,169.800,0.000,5.094,5.094,0.000,0,27.097,0.000,0.000,0.000
N111349_1,Deer Park Energy Center CTG2,,0,0,169.800,0.000,5.094,5.094,0.000,0,27.097,0.000,0.000,0.000
N111350_1,Deer Park Energy Center CTG3,,0,0,169.800,0.000,5.094,5.094,0.000,0,27.097,0.000,0.000,0.000
N111351_1,Deer Park Energy Center CTG4,,0,0,169.800,0.000,5.094,5.094,0.000,0,27.097,0.000,0.000,0.000
N111352_1,Deer Park Energy Center CTG6,,0,0,154.800,0.000,4.644,4.644,0.000,0,0.000,0.000,0.000,0.000
N111354_1,Green Power 2 ST1,,0,0,75.000,0.000,2.250,2.250,0.000,0,24.920,0.000,0.000,0.000
N111355_1,Green Power 2 TR1,,0,0,158.000,0.000,4.740,4.740,0.000,0,24.920,0.000,0.000,0.000
N111356_1,Green Power 2 TR2,,0,0,158.000,0.000,4.740,4.740,0.000,0,24.920,0.000,0.000,0.000
N111357_1,Green Power 2 TR3,,0,0,158.000,0.000,4.740,4.740,0.000,0,24.920,0.000,0.000,0.000
N111358_1,Green Power 2 ST805,,0,0,75.000,0.000,2.250,2.250,0.000,0,24.920,0.000,0.000,0.000
N111360_1,Freeport Energy Center CTG1,,0,0,169.400,0.000,5.082,5.082,0.000,0,21.674,0.000,0.000,0.000
N111361_1,Freeport Energy Center STG1,,0,0,50.000,0.000,2.000,2.000,0.000,0,21.674,0.000,0.000,0.000
N111364_1,Colorado Bend Energy Center ST1,,0,0,98.000,0.000,2.940,2.940,0.000,0,36.713,0.000,0.000,0.000
N111365_1,Colorado Bend Energy Center ST2,,0,0,98.000,0.000,2.940,2.940,0.000,0,36.713,0.000,0.000,0.000
N111366_1,Colorado Bend Energy Center CT1A,,0,0,72.000,0.000,2.160,2.160,0.000,0,36.713,0.000,0.000,0.000
N111367_1,Colorado Bend Energy Center CT1B,,0,0,72.000,0.000,2.160,2.160,0.000,0,36.713,0.000,0.000,0.000
N111368_1,Colorado Bend Energy Center CT2A,,0,0,72.000,0.000,2.160,2.160,0.000,0,36.713,0.000,0.000,0.000
N111369_1,Colorado Bend Energy Center CT2B,,0,0,72.000,0.000,2.160,2.160,0.000,0,36.713,0.000,0.000,0.000
N111372_1,Cedar Bayou 4 4,,0,0,172.000,0.000,5.160,5.160,0.000,0,33.055,0.000,0.000,0.000
N111373_1,Cedar Bayou 4 41,,0,0,165.000,0.000,4.950,4.950,0.000,0,33.055,0.000,0.000,0.000
N111374_1,Cedar Bayou 4 42,,0,0,165.000,0.000,4.950,4.950,0.000,0,33.055,0.000,0.000,0.000
N111378_1,TECO CHP-1 CHP1,,0,0,48.000,0.000,3.230,3.230,0.000,0,25.806,0.000,0.000,0.000
N111382_1,W.A. Parish Carbon Capture Plant GT2,,0,0,74.000,0.000,4.980,4.980,0.000,0,80.486,0.000,0.000,0.000
N111386_1,Freeport LP Pretreatment Facility 65GTG,,0,0,70.000,0.000,2.100,2.100,0.000,0,0.000,0.000,0.000,0.000
N111390_1,Colorado Bend II STG9,,0,0,472.500,0.000,14.175,14.175,0.000,0,0.000,0.000,0.000,0.000
N111391_1,Colorado Bend II CT7,,0,0,331.900,0.000,9.957,9.957,0.000,0,0.000,0.000,0.000,0.000
N111392_1,Colorado Bend II CT8,,0,0,335.300,0.000,10.059,10.059,0.000,0,0.000,0.000,0.000,0.000
N111395_1,Bacliff BCGT1,,0,0,54.000,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N111396_1,Bacliff BCGT2,,0,0,54.000,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N111397_1,Bacliff BCGT3,,0,0,54.000,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N111398_1,Bacliff BCGT4,,0,0,54.000,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N111399_1,Bacliff BCGT5,,0,0,54.000,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N111400_1,Bacliff BCGT6,,0,0,54.000,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N111402_1,Chamon Power LLC CH2,,0,0,45.000,0.000,3.029,3.029,0.000,0,0.000,0.000,0.000,0.000
N111402_2,Chamon Power LLC CH1,,0,0,45.000,0.000,3.029,3.029,0.000,0,0.000,0.000,0.000,0.000
N111404_1,Friendswood Energy GT-1,,0,0,117.000,0.000,3.510,3.510,0.000,0,0.000,0.000,0.000,0.000
N120434_1,Leon Creek CGT2,,0,0,46.000,0.000,3.096,3.096,0.000,0,0.000,0.000,0.000,0.000
N120434_2,Leon Creek CGT1,,0,0,46.000,0.000,3.096,3.096,0.000,0,0.000,0.000,0.000,0.000
N120436_1,Leon Creek CGT4,,0,0,46.000,0.000,3.096,3.096,0.000,0,0.000,0.000,0.000,0.000
N120438_1,O W Sommers 1,,0,0,420.000,0.000,12.600,12.600,0.000,0,0.000,0.000,0.000,0.000
N120439_1,O W Sommers 2,,0,0,410.000,0.000,12.300,12.300,0.000,0,0.000,0.000,0.000,0.000
N120442_1,V H Braunig 6,,0,0,48.000,0.000,3.230,3.230,0.000,0,0.000,0.000,0.000,0.000
N120442_2,V H Braunig 5,,0,0,48.000,0.000,3.230,3.230,0.000,0,0.000,0.000,0.000,0.000
N120443_1,V H Braunig 7,,0,0,48.000,0.000,3.230,3.230,0.000,0,0.000,0.000,0.000,0.000
N120443_2,V H Braunig 8,,0,0,47.000,0.000,3.163,3.163,0.000,0,0.000,0.000,0.000,0.000
N120444_1,V H Braunig 3,,0,0,412.000,0.000,12.360,12.360,0.000,0,0.000,0.000,0.000,0.000
N120445_1,V H Braunig 2,,0,0,230.000,0.000,6.900,6.900,0.000,0,0.000,0.000,0.000,0.000
N120446_1,V H Braunig 1,,0,0,217.000,0.000,6.510,6.510,0.000,0,0.000,0.000,0.000,0.000
N120449_1,Pearsall 20A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120449_2,Pearsall 21A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120450_1,Pearsall 22A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120450_2,Pearsall 23A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120451_2,Pearsall 24A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120452_1,Pearsall 4A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120453_1,Pearsall 5A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120454_1,Pearsall 7A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120454_2,Pearsall 6A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120455_1,Pearsall 9A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120455_2,Pearsall 8A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120456_1,Pearsall 11A,,0,0,8.400,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N120456_2,Pearsall 10A,,0,0,8.400,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N120457_1,Pearsall 13A,,0,0,8.400,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N120457_2,Pearsall 12A,,0,0,8.400,0.000,2.000,2.000,0.000,0,0.000,0.000,0.000,0.000
N120458_1,Pearsall 15A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120458_2,Pearsall 14A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120459_1,Pearsall 17A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120459_2,Pearsall 16A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120460_1,Pearsall 19A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120460_2,Pearsall 18A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120461_1,Pearsall 1A,,0,0,8.400,0.000,2.000,2.000,0.000,0,41.959,0.000,0.000,0.000
N120463_1,J T Deely 1,,0,0,420.000,0.000,8.148,8.148,0.000,0,27.132,0.000,0.000,0.000
N120467_1,San Miguel 1,,0,0,391.000,0.000,7.585,7.585,0.000,0,0.000,0.000,0.000,0.000
N120469_1,J K Spruce 2,,0,0,785.000,0.000,15.229,15.229,0.000,0,0.000,0.000,0.000,0.000
N120470_1,J K Spruce 1,,0,0,560.000,0.000,10.864,10.864,0.000,0,0.000,0.000,0.000,0.000
N120472_1,Arthur Von Rosenberg 3,,0,0,190.000,0.000,5.700,5.700,0.000,0,0.000,0.000,0.000,0.000
N120473_1,Arthur Von Rosenberg 1,,0,0,164.000,0.000,4.920,4.920,0.000,0,0.000,0.000,0.000,0.000
N120474_1,Arthur Von Rosenberg 2,,0,0,164.000,0.000,4.920,4.920,0.000,0,0.000,0.000,0.000,0.000
N120490_1,Blue Wing Solar Energy Generation 1,,0,0,13.500,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N120493_1,Anacacho Wind Farm  LLC ANA,,0,0,99.800,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N120498_1,SunE CPS2 LLC 1,,0,0,9.900,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N120500_1,SunE CPS1 LLC 1,,0,0,9.900,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N120503_2,OCI Alamo Solar I Hybrid 1,,0,0,40.700,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N120507_1,OCI Alamo 4  LLC 1,,0,0,39.600,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N120512_1,OCI Alamo 5 LLC OCIA5,,0,0,100.000,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N130351_1,Mountain Creek 8,,0,0,568.000,0.000,17.040,17.040,0.000,0,0.000,0.000,0.000,0.000
N130352_1,Mountain Creek 7,,0,0,118.000,0.000,3.540,3.540,0.000,0,0.000,0.000,0.000,0.000
N130353_1,Mountain Creek 6,,0,0,122.000,0.000,3.660,3.660,0.000,0,0.000,0.000,0.000,0.000
N130356_1,Ennis Power Company LLC ST1,,0,0,114.400,0.000,3.432,3.432,0.000,0,33.102,0.000,0.000,0.000
N130359_1,Forney Energy Center ST1,,0,0,408.000,0.000,12.240,12.240,0.000,0,31.558,0.000,0.000,0.000
N130360_1,Forney Energy Center ST2,,0,0,408.000,0.000,12.240,12.240,0.000,0,31.558,0.000,0.000,0.000
N130361_1,Forney Energy Center U1,,0,0,167.000,0.000,5.010,5.010,0.000,0,31.558,0.000,0.000,0.000
N130362_1,Forney Energy Center U3,,0,0,159.000,0.000,4.770,4.770,0.000,0,31.558,0.000,0.000,0.000
N130363_1,Forney Energy Center U5,,0,0,159.000,0.000,4.770,4.770,0.000,0,31.558,0.000,0.000,0.000
N130364_1,Forney Energy Center U4,,0,0,167.000,0.000,5.010,5.010,0.000,0,31.558,0.000,0.000,0.000
N130365_1,Forney Energy Center U6,,0,0,159.000,0.000,4.770,4.770,0.000,0,31.558,0.000,0.000,0.000
N130366_1,Forney Energy Center U2,,0,0,159.000,0.000,4.770,4.770,0.000,0,31.558,0.000,0.000,0.000
N140304_1,Decker Creek GT1,,0,0,52.000,0.000,3.500,3.500,0.000,0,0.000,0.000,0.000,0.000
N140305_1,Decker Creek GT2,,0,0,52.000,0.000,3.500,3.500,0.000,0,0.000,0.000,0.000,0.000
N140306_1,Decker Creek GT3,,0,0,52.000,0.000,3.500,3.500,0.000,0,0.000,0.000,0.000,0.000
N140307_1,Decker Creek GT4,,0,0,52.000,0.000,3.500,3.500,0.000,0,0.000,0.000,0.000,0.000
N140308_1,Decker Creek 2,,0,0,404.000,0.000,12.120,12.120,0.000,0,0.000,0.000,0.000,0.000
N140309_1,Decker Creek 1,,0,0,320.000,0.000,9.600,9.600,0.000,0,44.917,0.000,0.000,0.000
N140311_1,Austin 1,,0,0,8.200,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140311_2,Austin 2,,0,0,8.800,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140313_1,Granite Shoals 1,,0,0,27.000,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140314_1,Granite Shoals 2,,0,0,27.000,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140320_1,Marble Falls 1,,0,0,19.800,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140321_1,Marble Falls 2,,0,0,19.800,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140327_1,Marshall Ford 1,,0,0,36.000,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140328_1,Marshall Ford 2,,0,0,36.000,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140328_2,Marshall Ford 3,,0,0,36.000,0.000,100.000,100.000,0.000,0,0.000,0.000,0.000,0.000
N140332_1,Sim Gideon 1,,0,0,136.000,0.000,4.080,4.080,0.000,0,0.000,0.000,0.000,0.000
N140333_1,Sim Gideon 2,,0,0,136.000,0.000,4.080,4.080,0.000,0,0.000,0.000,0.000,0.000
N140335_1,Thomas C Ferguson STG,,0,0,180.000,0.000,5.400,5.400,0.000,0,30.469,0.000,0.000,0.000
N140336_1,Thomas C Ferguson CT-1,,0,0,168.000,0.000,5.040,5.040,0.000,0,30.469,0.000,0.000,0.000
N140337_1,Thomas C Ferguson CT-2,,0,0,168.000,0.000,5.040,5.040,0.000,0,30.469,0.000,0.000,0.000
N140339_1,Sand Hill 5A,,0,0,161.000,0.000,4.830,4.830,0.000,0,36.477,0.000,0.000,0.000
N140340_1,Sand Hill 5C,,0,0,151.000,0.000,4.530,4.530,0.000,0,36.477,0.000,0.000,0.000
N140341_1,Sand Hill SH2,,0,0,47.300,0.000,3.183,3.183,0.000,0,0.000,0.000,0.000,0.000
N140341_2,Sand Hill SH1,,0,0,47.300,0.000,3.183,3.183,0.000,0,0.000,0.000,0.000,0.000
N140342_1,Sand Hill SH4,,0,0,47.300,0.000,3.183,3.183,0.000,0,0.000,0.000,0.000,0.000
