CostCurve,Point,X,Y
N111386_1,4,45.000,55.490
N111386_1,5,50.000,58.390
N111386_1,6,55.000,61.310
N111386_1,7,60.000,66.910
N111386_1,8,65.000,67.240
N111386_1,9,70.000,74.320
N111390_1,1,121.000,60.250
N111390_1,2,130.000,60.260
N111390_1,3,131.000,74.840
N111390_1,4,147.000,75.030
N111390_1,5,148.000,89.900
N111390_1,6,175.000,90.300
N111390_1,7,176.000,119.740
N111390_1,8,366.000,123.610
N111390_1,9,401.000,128.450
N111390_1,10,435.000,130.040
N111391_1,1,50.000,42.470
N111391_1,2,110.000,44.580
N111391_1,3,120.000,44.940
N111391_1,4,148.000,45.920
N111391_1,5,149.000,45.960
N111391_1,6,200.000,47.750
N111391_1,7,230.000,48.810
N111391_1,8,269.000,50.180
N111391_1,9,270.000,50.220
N111391_1,10,331.900,52.680
N111392_1,1,50.000,42.470
N111392_1,2,110.000,44.580
N111392_1,3,120.000,44.940
N111392_1,4,148.000,45.920
N111392_1,5,149.000,45.960
N111392_1,6,200.000,47.750
N111392_1,7,230.000,48.810
N111392_1,8,269.000,50.180
N111392_1,9,270.000,50.220
N111392_1,10,335.300,52.680
N111395_1,1,30.000,46.900
N111395_1,2,32.000,48.650
N111395_1,3,37.000,50.400
N111395_1,4,41.000,52.160
N111395_1,5,44.000,53.910
N111395_1,6,48.000,55.660
N111395_1,7,51.000,57.410
N111396_1,1,30.000,46.900
N111396_1,2,32.000,48.650
N111396_1,3,37.000,50.400
N111396_1,4,41.000,52.160
N111396_1,5,44.000,53.910
N111396_1,6,48.000,55.660
N111396_1,7,51.000,57.410
N111397_1,1,30.000,46.900
N111397_1,2,32.000,48.650
N111397_1,3,37.000,50.400
N111397_1,4,41.000,52.160
N111397_1,5,44.000,53.910
N111397_1,6,48.000,55.660
N111397_1,7,51.000,57.410
N111398_1,1,30.000,46.900
N111398_1,2,32.000,48.650
N111398_1,3,37.000,50.400
N111398_1,4,41.000,52.160
N111398_1,5,44.000,53.910
N111398_1,6,48.000,55.660
N111398_1,7,51.000,57.410
N111399_1,1,30.000,46.900
N111399_1,2,32.000,48.650
N111399_1,3,37.000,50.400
N111399_1,4,41.000,52.160
N111399_1,5,44.000,53.910
N111399_1,6,48.000,55.660
N111399_1,7,51.000,57.410
N111400_1,1,30.000,46.900
N111400_1,2,32.000,48.650
N111400_1,3,37.000,50.400
N111400_1,4,41.000,52.160
N111400_1,5,44.000,53.910
N111400_1,6,48.000,55.660
N111400_1,7,51.000,57.410
N111402_1,1,43.000,85.000
N111402_2,1,43.000,76.000
N111404_1,1,60.000,54.450
N111404_1,2,61.000,54.470
N111404_1,3,67.900,54.600
N111404_1,4,74.700,54.730
N111404_1,5,81.600,54.860
N111404_1,6,88.400,55.000
N111404_1,7,95.300,55.130
N111404_1,8,108.000,55.370
N111404_1,9,117.000,55.540
N120434_1,1,15.000,40.870
N120434_1,2,20.000,41.480
N120434_1,3,24.000,42.140
N120434_1,4,28.000,42.950
N120434_1,5,32.000,43.890
N120434_1,6,36.000,44.990
N120434_1,7,40.000,46.220
N120434_1,8,46.000,48.350
N120434_2,1,15.000,40.980
N120434_2,2,20.000,41.930
N120434_2,3,24.000,42.730
N120434_2,4,28.000,43.570
N120434_2,5,32.000,44.450
N120434_2,6,36.000,45.360
N120434_2,7,40.000,46.320
N120434_2,8,46.000,47.830
N120436_1,1,15.000,42.500
N120436_1,2,20.000,42.740
N120436_1,3,24.000,43.090
N120436_1,4,28.000,43.590
N120436_1,5,32.000,44.230
N120436_1,6,36.000,45.020
N120436_1,7,40.000,45.950
N120436_1,8,46.000,47.620
N120438_1,1,60.000,45.820
N120438_1,2,299.000,51.410
N120438_1,3,300.000,74.990
N120438_1,4,350.000,75.000
N120438_1,5,420.000,75.010
N120439_1,1,60.000,46.410
N120439_1,2,289.000,53.710
N120439_1,3,290.000,74.990
N120439_1,4,340.000,75.000
N120439_1,5,410.000,75.010
N120442_1,1,15.000,9.950
N120442_1,2,48.000,10.000
N120442_2,1,15.000,9.950
N120442_2,2,48.000,10.000
N120443_1,1,15.000,9.950
N120443_1,2,48.000,10.000
N120443_2,1,15.000,9.950
N120443_2,2,47.000,10.000
N120444_1,1,60.000,47.580
N120444_1,2,279.000,51.180
N120444_1,3,280.000,74.990
N120444_1,4,330.000,75.000
N120444_1,5,400.000,75.010
N120445_1,1,50.000,53.040
N120445_1,2,60.000,53.450
N120445_1,3,100.000,55.030
N120445_1,4,120.000,55.770
N120445_1,5,140.000,56.500
N120445_1,6,160.000,57.210
N120445_1,7,180.000,57.880
N120445_1,8,200.000,58.540
N120445_1,9,230.000,59.780
N120446_1,1,50.000,50.880
N120446_1,2,191.000,55.540
N120446_1,3,192.000,74.990
N120446_1,4,217.000,75.000
N120456_1,1,2.520,56.960
N120456_1,2,8.400,56.960
N120456_2,1,2.520,56.960
N120456_2,2,8.400,56.960
N120457_1,1,2.520,56.960
N120457_1,2,8.400,56.960
N120457_2,1,2.520,56.960
N120457_2,2,8.400,56.960
N120467_1,1,220.000,-249.000
N120467_1,2,221.000,14.500
N120467_1,3,391.000,14.750
N120469_1,1,290.000,17.060
N120469_1,2,300.000,17.170
N120469_1,3,380.000,18.030
N120469_1,4,420.000,18.430
N120469_1,5,440.000,18.630
N120469_1,6,460.000,18.820
N120469_1,7,590.000,19.990
N120469_1,8,610.000,20.150
N120469_1,9,785.000,21.530
N120470_1,1,125.000,17.770
N120470_1,2,135.000,17.860
N120470_1,3,175.000,18.250
N120470_1,4,205.000,18.540
N120470_1,5,275.000,19.210
N120470_1,6,305.000,19.500
N120470_1,7,375.000,20.170
N120470_1,8,405.000,20.460
N120470_1,9,560.000,21.990
N120472_1,1,45.000,56.960
N120472_1,2,63.400,57.230
N120472_1,3,82.200,57.500
N120472_1,4,101.000,57.770
N120472_1,5,119.800,58.040
N120472_1,6,138.600,58.310
N120472_1,7,157.400,58.580
N120472_1,8,176.200,58.860
N120473_1,1,35.000,57.460
N120473_1,2,36.000,57.500
N120473_1,3,164.000,62.450
N120474_1,1,35.000,57.460
N120474_1,2,36.000,57.500
N120474_1,3,164.000,62.450
N120490_1,1,10.000,-0.900
N120493_1,1,99.800,-38.040
N120498_1,1,1.980,-0.900
N120498_1,2,9.900,-0.900
N120500_1,1,1.980,-0.900
N120500_1,2,9.900,-0.900
N120503_2,1,20.000,-3.000
N120503_2,2,40.700,0.000
N120507_1,1,20.000,-3.000
N120507_1,2,39.600,0.000
N120512_1,1,50.000,-3.000
N120512_1,2,100.000,0.000
N130351_1,1,150.000,68.660
N130351_1,2,550.000,499.990
N130351_1,3,568.000,500.000
N130352_1,1,15.000,73.740
N130352_1,2,115.000,199.990
N130352_1,3,118.000,200.000
N130353_1,1,15.000,73.220
N130353_1,2,115.000,199.990
N130353_1,3,122.000,200.000
N140304_1,1,48.000,58.350
N140304_1,2,49.000,58.700
N140305_1,1,48.000,58.350
N140305_1,2,49.000,58.700
N140306_1,1,48.000,58.350
N140306_1,2,49.000,58.700
N140307_1,1,48.000,58.350
N140307_1,2,49.000,58.700
N140308_1,1,50.000,50.870
N140308_1,2,89.400,51.840
N140308_1,3,133.900,52.960
N140308_1,4,178.300,54.110
N140308_1,5,222.800,55.290
N140308_1,6,267.200,56.510
N140308_1,7,311.700,57.770
N140308_1,8,356.100,59.050
N140308_1,9,400.600,60.380
N140308_1,10,404.000,60.700
N140311_1,1,1.640,1999.910
N140311_1,2,8.200,1999.910
N140311_2,1,8.800,2000.000
N140313_1,1,27.000,1999.910
N140314_1,1,27.000,1999.910
N140320_1,1,19.800,1999.950
N140321_1,1,19.800,1999.950
N140327_1,1,35.000,2000.000
N140328_1,1,35.000,2000.000
N140328_2,1,35.000,2000.000
N140332_1,1,20.000,39.860
N140332_1,2,29.000,40.620
N140332_1,3,38.000,41.390
N140332_1,4,47.000,42.160
N140332_1,5,56.000,42.920
N140332_1,6,65.000,43.690
N140332_1,7,74.000,44.450
N140332_1,8,83.000,45.220
N140332_1,9,92.000,45.980
N140332_1,10,130.000,47.520
N140333_1,1,18.000,46.410
N140333_1,2,40.000,46.650
N140333_1,3,46.000,46.720
N140333_1,4,47.000,46.730
N140333_1,5,80.000,47.100
N140333_1,6,95.000,47.270
N140333_1,7,110.000,47.440
N140333_1,8,120.000,47.550
N140333_1,9,125.000,47.610
N140333_1,10,135.000,47.720
N140341_1,1,12.000,39.420
N140341_1,2,15.000,39.830
N140341_1,3,20.000,40.790
N140341_1,4,25.000,42.040
N140341_1,5,30.000,43.550
N140341_1,6,35.000,45.340
N140341_1,7,40.000,47.410
N140341_1,8,45.000,49.760
N140341_1,9,47.000,50.810
N140341_2,1,12.000,39.420
N140341_2,2,15.000,39.830
N140341_2,3,20.000,40.790
N140341_2,4,25.000,42.040
N140341_2,5,30.000,43.550
N140341_2,6,35.000,45.340
N140341_2,7,40.000,47.410
N140341_2,8,45.000,49.760
N140341_2,9,47.000,50.810
N140342_1,1,12.000,39.420
N140342_1,2,15.000,39.830
N140342_1,3,20.000,40.790
N140342_1,4,25.000,42.040
N140342_1,5,30.000,43.550
N140342_1,6,35.000,45.340
N140342_1,7,40.000,47.410
N140342_1,8,45.000,49.760
N140342_1,9,47.000,50.810
N140342_2,1,12.000,39.420
N140342_2,2,15.000,39.830
N140342_2,3,20.000,40.790
N140342_2,4,25.000,42.040
N140342_2,5,30.000,43.550
N140342_2,6,35.000,45.340
N140342_2,7,40.000,47.410
N140342_2,8,45.000,49.760
N140342_2,9,47.000,50.810
N140343_1,1,15.000,39.830
N140343_1,2,20.000,40.790
N140343_1,3,25.000,42.040
N140343_1,4,30.000,43.550
N140343_1,5,35.000,45.340
N140343_1,6,40.000,47.410
N140343_1,7,45.000,49.760
N140343_1,8,47.000,50.810
N140343_2,1,12.000,39.420
N140343_2,2,15.000,39.830
N140343_2,3,20.000,40.790
N140343_2,4,25.000,42.040
N140343_2,5,30.000,43.550
N140343_2,6,35.000,45.340
N140343_2,7,40.000,47.410
N140343_2,8,45.000,49.760
N140343_2,9,47.000,50.810
N140361_1,1,50.000,53.040
N140361_1,2,60.000,53.450
N140361_1,3,100.000,55.030
N140361_1,4,120.000,55.770
N140361_1,5,140.000,56.500
N140361_1,6,160.000,57.210
N140361_1,7,180.000,57.880
N140361_1,8,200.000,58.540
N140361_1,9,227.000,59.780
N140362_1,1,80.000,34.570
N140362_1,2,149.000,51.890
N140363_1,1,80.000,34.570
N140363_1,2,149.000,51.890
N140374_1,1,44.000,75.000
N140374_2,1,44.000,75.000
N140375_1,1,44.000,75.000
N140375_2,1,44.000,75.000
N140377_1,1,30.000,0.000
N150428_1,1,36.000,49.020
N150428_1,2,37.000,49.040
N150428_1,3,390.000,59.310
N150429_1,1,46.000,44.520
N150429_1,2,47.000,44.560
N150429_1,3,234.000,54.100
N150431_1,1,121.000,110.220
N150431_1,2,156.000,110.830
N150431_1,3,191.000,114.650
N150431_1,4,226.000,118.230
N150431_1,5,261.000,121.560
N150431_1,6,296.000,124.650
N150431_1,7,331.000,127.490
N150431_1,8,366.000,130.090
N150431_1,9,401.000,132.450
N150431_1,10,435.000,134.540
N150433_1,1,184.000,26.990
N150433_1,2,235.000,63.430
N150433_1,3,262.000,75.000
N150433_1,4,263.000,76.890
N150433_1,5,300.000,77.270
N150433_1,6,301.000,102.170
N150435_1,1,35.000,61.870
N150435_1,2,35.100,61.880
N150435_1,3,39.900,62.170
N150435_1,4,44.900,62.470
N150435_1,5,49.900,62.780
N150435_1,6,54.900,63.080
N150435_1,7,59.900,63.380
N150435_1,8,64.900,63.680
N150435_1,9,65.000,75.000
N150435_1,10,104.000,80.000
N150436_1,1,35.000,61.870
N150436_1,2,35.100,61.880
N150436_1,3,39.900,62.170
N150436_1,4,44.900,62.470
N150436_1,5,49.900,62.780
N150436_1,6,54.900,63.080
N150436_1,7,59.900,63.380
N150436_1,8,64.900,63.680
N150436_1,9,65.000,75.000
N150436_1,10,104.000,80.000
N150437_1,1,45.000,56.960
N150437_1,2,63.400,57.230
N150437_1,3,82.200,57.500
N150437_1,4,101.000,57.770
N150437_1,5,119.800,58.040
N150437_1,6,138.600,58.310
N150437_1,7,157.400,58.580
N150437_1,8,176.200,58.860
N150437_1,9,195.000,59.130
N150437_1,10,200.000,59.410
N150439_1,1,20.000,66.250
N150439_1,2,26.700,66.740
N150439_1,3,33.600,67.250
N150439_1,4,40.500,67.750
N150439_1,5,47.400,68.260
N150439_1,6,54.300,68.770
N150439_1,7,61.200,69.280
N150439_1,8,66.000,69.790
N150441_1,1,200.000,-50.000
N150441_1,2,1205.000,-49.990
N150442_1,1,200.000,-50.000
N150442_1,2,1195.000,-49.990
N150445_1,1,21.300,56.960
N150445_1,2,71.000,56.960
N150446_1,1,21.000,56.960
N150446_1,2,70.000,56.960
N150447_1,1,21.000,56.960
N150447_1,2,70.000,56.960
N150448_1,1,21.300,56.960
N150448_1,2,71.000,56.960
N150492_1,1,53.000,-31.340
N150496_1,1,120.000,0.020
N150499_1,1,103.400,-31.640
N150502_1,1,32.200,-31.640
N150502_1,2,161.000,-31.640
N150505_1,1,30.000,-31.640
N150505_1,2,150.000,-31.640
N150507_1,1,22.500,-32.850
N150507_1,2,45.000,-32.350
N150507_1,3,67.500,-31.850
N150507_1,4,90.000,-31.350
N150507_1,5,112.500,-30.850
N150510_1,1,1.800,-31.360
N150510_1,2,3.600,-30.850
N150510_1,3,5.400,-30.340
N150510_1,4,7.500,-29.830
N150510_1,5,9.700,-29.320
N150512_1,1,110.000,-71.830
N150515_1,1,40.800,-31.640
N150515_1,2,204.000,-31.640
N150517_1,1,13.520,-31.640
N150517_1,2,67.600,-31.640
N150520_1,1,150.000,-19.990
N150524_1,1,50.000,42.470
N150524_1,2,110.000,44.580
N150524_1,3,120.000,44.940
N150524_1,4,148.000,45.920
N150524_1,5,149.000,45.960
N150524_1,6,200.000,47.750
N150524_1,7,230.000,48.810
N150524_1,8,269.000,50.180
N150524_1,9,270.000,50.220
N150524_1,10,327.800,52.680
N150525_1,1,50.000,42.470
N150525_1,2,110.000,44.580
N150525_1,3,120.000,44.940
N150525_1,4,148.000,45.920
N150525_1,5,149.000,45.960
N150525_1,6,200.000,47.750
N150525_1,7,230.000,48.810
N150525_1,8,269.000,50.180
N150525_1,9,270.000,50.220
N150525_1,10,329.300,52.680
N150528_1,1,99.000,-35.000
N150531_1,1,25.000,-31.640
N150531_1,2,125.000,-31.640
N150534_1,1,45.000,-35.390
N150541_1,1,16.000,92.873
N150541_2,1,16.000,92.873
N150542_1,1,16.000,92.873
N150543_1,1,16.000,92.873
N150543_2,1,16.000,92.873
N150544_1,1,16.000,92.873
N150544_2,1,16.000,92.873
N150545_1,1,16.000,92.873
N150545_2,1,16.000,92.873
N150546_1,1,16.000,92.873
N150546_2,1,16.000,92.873
N150547_1,1,16.000,92.873
N150549_1,1,0.100,-31.650
N150549_1,2,30.000,-31.640
N150552_1,1,183.800,-31.650
N150554_1,1,1.980,-0.900
N150554_1,2,9.900,-0.900
N160208_1,1,110.000,22.620
N160208_1,2,111.000,22.700
N160208_1,3,225.000,31.020
N160208_1,4,226.000,38.300
N160208_1,5,238.000,39.170
N160208_1,6,239.000,45.420
N160208_1,7,247.000,46.000
N160208_1,8,248.000,54.800
N160208_1,9,289.000,57.800
N160210_1,1,175.000,26.570
N160210_1,2,350.000,36.730
N160210_1,3,383.000,38.650
N160210_1,4,417.000,40.170
N160210_1,5,450.000,41.220
N160210_1,6,483.000,41.840
N160210_1,7,655.000,42.030
N160263_1,1,139.000,-4.000
N160270_1,1,201.600,-31.650
N160273_1,1,100.000,-10.990
N160275_1,1,80.400,0.500
N160275_1,2,160.800,0.510
N160278_1,1,200.000,-0.530
N160281_1,1,100.000,-31.500
N160286_1,1,103.400,-31.640
N160288_1,1,201.000,-34.130
N160291_1,1,151.000,-30.930
N160293_1,1,42.000,85.000
N160294_1,1,42.000,76.000
N160297_1,1,44.000,77.000
N160298_1,1,44.000,600.000
N160301_1,1,103.300,-47.350
N160303_1,1,32.580,-31.640
N160303_1,2,162.900,-31.640
N170518_1,1,48.000,46.330
N170518_1,2,56.000,46.360
N170518_1,3,57.000,46.370
N170518_1,4,523.000,48.030
N170519_1,1,56.000,56.170
N170519_1,2,57.000,56.180
N170519_1,3,392.000,59.960
N170522_1,1,50.000,79.190
N170522_1,2,75.000,85.200
N170523_1,1,25.000,78.680
N170523_1,2,75.000,86.200
N170523_1,3,108.000,92.220
N170523_1,4,138.000,98.230
N170524_1,1,20.000,71.770
N170524_1,2,50.000,79.590
N170524_1,3,80.000,85.600
N170524_1,4,107.000,97.630
N170525_1,1,50.000,79.190
N170525_1,2,75.000,85.200
N170528_1,1,4.500,50.120
N170528_1,2,8.200,51.120
N170529_1,1,4.200,56.960
N170529_1,2,8.200,56.960
N170529_2,1,13.000,71.020
N170529_2,2,19.000,71.280
N170529_2,3,25.000,71.520
N170529_2,4,29.000,71.780
N170529_2,5,38.000,72.020
N170530_1,1,10.000,71.020
N170530_1,2,12.000,71.280
N170530_1,3,16.000,71.520
N170530_1,4,20.000,71.780
N170530_1,5,21.500,72.020
N170530_2,1,10.000,71.020
N170530_2,2,12.000,71.280
N170530_2,3,16.000,71.520
N170530_2,4,18.000,71.780
N170535_1,1,5.400,299.540
N170535_1,2,10.600,300.060
N170535_1,3,15.800,300.580
N170535_1,4,21.000,301.100
N170535_1,5,26.200,301.620
N170535_1,6,31.400,302.140
N170535_1,7,36.600,302.660
N170535_1,8,40.000,303.180
N170536_1,1,8.000,1999.910
N170536_1,2,40.000,1999.910
N170577_1,1,10.000,-0.900
N170579_1,1,10.000,-0.900
N170583_1,1,10.000,-0.900
N180111_1,1,35.000,54.280
N180111_1,2,42.000,54.380
N180111_1,3,89.000,75.000
N180114_1,1,2.100,1999.910
N180114_1,2,10.500,1999.910
N180117_1,1,2.000,1999.910
N180117_1,2,10.000,1999.910
N180119_1,1,2.000,-40.000
N180119_1,2,42.000,-35.000
N180119_1,3,80.000,-31.000
N180121_1,1,18.240,-31.640
N180121_1,2,91.200,-31.640
N180123_1,1,200.000,-31.650
N180126_1,1,200.000,-31.650
N180128_1,1,15.600,-31.640
N180128_1,2,78.000,-31.640
N180131_1,1,40.000,-31.880
N180134_1,1,96.000,-31.880
N180137_1,1,115.200,-31.640
N180140_1,1,154.700,-31.880
N180143_1,1,200.000,-0.530
N180145_1,1,10.000,-0.900
N190106_1,1,86.000,0.000
N190114_1,1,130.500,1.940
N190118_1,1,150.000,1.780
N190120_1,1,89.000,0.010
N190123_1,1,211.000,-35.000
N190124_1,1,164.000,-35.000
N190129_1,1,110.000,-10.990
N190132_1,1,108.000,-38.480
N190134_1,1,30.000,-31.640
N190134_1,2,150.000,-31.640
N190136_1,1,100.000,-10.990
N190139_1,1,144.300,-32.010
N190142_1,1,127.000,-31.650
N190145_1,1,100.000,-31.650
N190147_1,1,100.000,-31.640
N190149_1,1,98.000,-43.080
N190152_1,1,96.000,-43.080
N190155_1,1,117.000,-1.490
N190157_1,1,101.000,-38.480
N190159_1,1,80.000,-31.120
N190162_1,1,105.000,-32.650
N190165_1,1,146.200,-31.970
N190167_1,1,150.000,-19.990
N190169_1,1,150.000,-6.000
N190172_1,1,148.500,-31.640
N190177_1,1,132.000,-31.640
N190182_1,1,151.200,-29.990
N190185_1,1,64.000,-40.000
N190190_1,1,3.000,-19.010
N190190_1,2,25.000,-19.000
N190190_1,3,25.100,-6.260
N190190_1,4,163.000,-6.250
N190193_1,1,127.000,-31.650
N190196_1,1,186.400,-31.650
N190198_1,1,82.000,-30.010
N190201_1,1,150.000,-31.650
N190206_1,1,2.700,-33.910
N190206_1,2,5.500,-33.410
N190206_1,3,8.200,-32.910
N190206_1,4,11.000,-32.410
N190206_1,5,14.000,-31.910
N190209_1,1,210.100,-31.600
N200157_1,1,18.000,57.470
N200157_1,2,40.000,57.480
N200172_1,1,45.000,56.960
N200172_1,2,63.400,57.230
N200172_1,3,82.200,57.500
N200172_1,4,101.000,57.770
N200172_1,5,119.800,58.040
N200172_1,6,138.600,58.310
N200172_1,7,157.400,58.580
N200172_1,8,172.000,58.860
N200173_1,1,80.000,34.570
N200173_1,2,149.000,51.890
N200174_1,1,80.000,34.570
N200174_1,2,149.000,51.890
N200179_1,1,52.000,-32.000
N200181_1,1,1.000,-30.000
N200181_1,2,50.000,-25.000
N200181_1,3,200.000,-22.000
N200184_1,1,201.600,-31.650
N200186_1,1,103.000,-38.390
N200189_1,1,120.000,-38.390
N200192_1,1,33.000,-31.640
N200192_1,2,165.000,-31.640
N200195_1,1,5.490,56.960
N200195_1,2,18.300,56.960
N200195_2,1,5.490,56.960
N200195_2,2,18.300,56.960
N200202_1,1,5.490,56.960
N200202_1,2,18.300,56.960
N200202_2,1,5.490,56.960
N200202_2,2,18.300,56.960
N200204_1,1,32.600,-31.640
N200204_1,2,65.100,-15.820
N200204_1,3,95.300,-7.910
N200207_1,1,80.000,-31.640
N200207_1,2,80.100,-10.000
N200207_1,3,110.000,-9.990
N210319_2,1,18.300,1999.820
N210320_1,1,18.300,1999.820
N210325_1,1,2.800,299.370
N210325_1,2,5.300,299.710
N210325_1,3,7.800,300.040
N210325_1,4,10.300,300.370
N210325_1,5,12.800,300.710
N210325_1,6,15.300,301.040
N210325_1,7,17.800,301.370
N210325_1,8,20.300,301.710
N210325_1,9,21.000,301.980
N210325_2,1,2.800,299.370
N210325_2,2,5.300,299.710
N210325_2,3,7.800,300.040
N210325_2,4,10.300,300.370
N210325_2,5,12.800,300.710
N210325_2,6,15.300,301.040
N210325_2,7,17.800,301.370
N210325_2,8,20.300,301.710
N210325_2,9,21.000,301.980
N210346_1,1,148.600,-31.710
N210349_1,1,105.000,-24.990
N210354_1,1,200.000,0.000
N220123_1,1,19.200,56.960
N220123_1,2,64.000,56.960
N220124_1,1,19.200,56.960
N220124_1,2,64.000,56.960
N220125_1,1,19.200,56.960
N220125_1,2,64.000,56.960
N220126_1,1,19.200,56.960
N220126_1,2,64.000,56.960
N220127_1,1,19.500,56.960
N220127_1,2,65.000,56.960
N220149_1,1,17.100,-34.870
N220149_1,2,43.000,-34.840
N220149_1,3,51.400,-34.820
N220149_1,4,68.500,-34.790
N220149_1,5,85.600,-34.770
N220151_1,1,19.200,-31.860
N220151_1,2,38.400,-31.830
N220151_1,3,57.200,-31.810
N220151_1,4,76.800,-31.780
N220151_1,5,82.500,-31.760
N220153_1,1,18.000,-31.860
N220153_1,2,36.000,-31.830
N220153_1,3,54.000,-31.810
N220153_1,4,72.000,-31.780
N220153_1,5,78.000,-31.760
N220156_1,1,19.400,-31.860
