CostCurve,BaseCost,LoadFlag,NonConvex
N180128_1,0.000,0,0
N180131_1,0.000,0,0
N180134_1,0.000,0,0
N180137_1,0.000,0,0
N180140_1,0.000,0,0
N180143_1,0.000,0,0
N180145_1,0.000,0,0
N190106_1,0.000,0,0
N190114_1,0.000,0,0
N190118_1,0.000,0,0
N190120_1,0.000,0,0
N190123_1,0.000,0,0
N190124_1,0.000,0,0
N190129_1,0.000,0,0
N190132_1,0.000,0,0
N190134_1,0.000,0,0
N190136_1,0.000,0,0
N190139_1,0.000,0,0
N190142_1,0.000,0,0
N190145_1,0.000,0,0
N190147_1,0.000,0,0
N190149_1,0.000,0,0
N190152_1,0.000,0,0
N190155_1,0.000,0,0
N190157_1,0.000,0,0
N190159_1,0.000,0,0
N190162_1,0.000,0,0
N190165_1,0.000,0,0
N190167_1,0.000,0,0
N190169_1,0.000,0,0
N190172_1,0.000,0,0
N190177_1,0.000,0,0
N190182_1,0.000,0,0
N190185_1,0.000,0,0
N190190_1,0.000,0,0
N190193_1,0.000,0,0
N190196_1,0.000,0,0
N190198_1,0.000,0,0
N190201_1,0.000,0,0
N190206_1,0.000,0,0
N190209_1,0.000,0,0
N200157_1,0.000,0,0
N200172_1,843.750,0,0
N200173_1,434.400,0,0
N200174_1,434.400,0,0
N200179_1,0.000,0,0
N200181_1,0.000,0,0
N200184_1,0.000,0,0
N200186_1,0.000,0,0
N200189_1,0.000,0,0
N200192_1,0.000,0,0
N200195_1,0.000,0,0
N200195_2,0.000,0,0
N200202_1,0.000,0,0
N200202_2,0.000,0,0
N200204_1,0.000,0,0
N200207_1,0.000,0,0
N210319_2,0.000,0,0
N210320_1,0.000,0,0
N210325_1,0.000,0,0
N210325_2,0.000,0,0
N210346_1,0.000,0,0
N210349_1,0.000,0,0
N210354_1,0.000,0,0
N220123_1,0.000,0,0
N220124_1,0.000,0,0
N220125_1,0.000,0,0
N220126_1,0.000,0,0
N220127_1,0.000,0,0
N220149_1,0.000,0,0
N220151_1,0.000,0,0
N220153_1,0.000,0,0
N220156_1,0.000,0,0
N220159_1,0.000,0,0
N220169_1,0.000,0,0
N220171_1,0.000,0,0
N220174_1,0.000,0,0
N220176_1,0.000,0,0
N220178_1,0.000,0,0
N220181_1,0.000,0,0
N220183_1,0.000,0,0
N220186_1,0.000,0,0
N220191_2,0.000,0,0
N220195_1,0.000,0,0
N220199_1,0.000,0,0
N220206_1,0.000,0,0
N220209_1,0.000,0,0
N220214_1,0.000,0,0
N220216_1,0.000,0,0
N220219_1,0.000,0,0
N220222_1,0.000,0,0
N220225_2,0.000,0,0
N220228_1,0.000,0,0
N220230_1,0.000,0,0
N220234_1,0.000,0,0
N220245_1,0.000,0,0
N220250_1,0.000,0,0
N220253_1,0.000,0,0
N220256_1,0.000,0,0
N230259_1,0.000,0,0
N230260_1,0.000,0,0
N230271_1,0.000,0,0
N230272_1,0.000,0,0
N230276_1,0.000,0,0
N230281_1,0.000,0,0
N230282_1,0.000,0,0
N230293_2,0.000,0,0
N240202_1,0.000,0,0
N240202_2,0.000,0,0
N240210_1,0.000,0,0
N240214_1,0.000,0,0
N240217_1,0.000,0,0
N240219_1,0.000,0,0
N240221_1,0.000,0,0
N240222_1,0.000,0,0
N240223_1,0.000,0,0
N240225_1,0.000,0,0
N240228_1,0.000,0,0
N240230_1,0.000,0,0
N240233_1,0.000,0,0
N240236_1,0.000,0,0
N240239_1,0.000,0,0
N240241_1,0.000,0,0
N240244_1,0.000,0,0
N240248_1,0.000,0,0
N240250_1,0.000,0,0
N240255_1,0.000,0,0
N240256_1,0.000,0,0
N240258_1,0.000,0,0
N240259_1,0.000,0,0
N240260_1,0.000,0,0
N240261_1,0.000,0,0
N240266_1,0.000,0,0
N240269_1,0.000,0,0
N240272_1,0.000,0,0
N240275_1,0.000,0,0
N240278_2,0.000,0,0
N240280_2,0.000,0,0
N240282_1,0.000,0,0
N240284_1,0.000,0,0
N240285_1,0.000,0,0
N240288_1,0.000,0,0
N240291_1,0.000,0,0
N240293_1,0.000,0,0
N240296_1,0.000,0,0
N240301_1,0.000,0,0
N240304_1,0.000,0,0
N240307_1,0.000,0,0
N240312_1,0.000,0,0
N240317_1,0.000,0,0
N240320_1,0.000,0,0
N250347_1,3158.750,0,0
N250348_1,1818.950,0,0
N250354_1,4588.000,0,0
N250358_1,0.000,0,0
N250359_1,0.000,0,0
N250360_1,0.000,0,0
N250376_1,0.000,0,0
N260208_1,2752.500,0,0
N260209_1,2556.000,0,0
N260210_1,2436.000,0,0
N260211_1,2343.000,0,0
N260212_1,2452.500,0,0
N260213_1,3058.000,0,0
N270212_1,1896.000,0,0
N270214_1,3012.000,0,0
N270215_1,1819.500,0,0
