Scenario,Injector,MaxMw,Enforce,ScaleFactor,Schedule,Sequence
0,N220228_1,,,,N220228_1_fcst,
0,N220230_1,,,,N220230_1_fcst,
0,N150531_1,,,,N150531_1_fcst,
0,N220234_1,,,,N220234_1_fcst,
0,N180134_1,,,,N180134_1_fcst,
0,N190185_1,,,,N190185_1_fcst,
0,N240296_1,,,,N240296_1_fcst,
0,N190190_1,,,,N190190_1_fcst,
0,N240301_1,,,,N240301_1_fcst,
0,N190193_1,,,,N190193_1_fcst,
0,N150534_1,,,,N150534_1_fcst,
0,N240304_1,,,,N240304_1_fcst,
0,N240307_1,,,,N240307_1_fcst,
0,N210354_1,,,,N210354_1_fcst,
0,N160301_1,,,,N160301_1_fcst,
0,N220245_1,,,,N220245_1_fcst,
0,N190196_1,,,,N190196_1_fcst,
0,N190198_1,,,,N190198_1_fcst,
0,N170577_1,,,,N170577_1_fcst,
0,N170579_1,,,,N170579_1_fcst,
0,N160303_1,,,,N160303_1_fcst,
0,N240312_1,,,,N240312_1_fcst,
0,N250376_1,,,,N250376_1_fcst,
0,N180137_1,,,,N180137_1_fcst,
0,N170583_1,,,,N170583_1_fcst,
0,N220250_1,,,,N220250_1_fcst,
0,N190201_1,,,,N190201_1_fcst,
0,N180140_1,,,,N180140_1_fcst,
0,N240317_1,,,,N240317_1_fcst,
0,N150549_1,,,,N150549_1_fcst,
0,N180143_1,,,,N180143_1_fcst,
0,N240320_1,,,,N240320_1_fcst,
0,N150552_1,,,,N150552_1_fcst,
0,N220253_1,,,,N220253_1_fcst,
0,N220256_1,,,,N220256_1_fcst,
0,N190206_1,,,,N190206_1_fcst,
0,N180145_1,,,,N180145_1_fcst,
0,N190209_1,,,,N190209_1_fcst,
0,N150554_1,,,,N150554_1_fcst,
ScnRT,N220149_1,,,,N220149_1_act,
ScnRT,N220151_1,,,,N220151_1_act,
ScnRT,N220153_1,,,,N220153_1_act,
ScnRT,N220156_1,,,,N220156_1_act,
ScnRT,N240210_1,,,,N240210_1_act,
ScnRT,N220159_1,,,,N220159_1_act,
ScnRT,N190106_1,,,,N190106_1_act,
ScnRT,N240214_1,,,,N240214_1_act,
ScnRT,N240217_1,,,,N240217_1_act,
ScnRT,N240219_1,,,,N240219_1_act,
ScnRT,N240223_1,,,,N240223_1_act,
ScnRT,N240222_1,,,,N240222_1_act,
ScnRT,N240221_1,,,,N240221_1_act,
ScnRT,N240225_1,,,,N240225_1_act,
ScnRT,N240228_1,,,,N240228_1_act,
ScnRT,N240230_1,,,,N240230_1_act,
ScnRT,N220169_1,,,,N220169_1_act,
ScnRT,N240233_1,,,,N240233_1_act,
ScnRT,N220171_1,,,,N220171_1_act,
ScnRT,N240236_1,,,,N240236_1_act,
ScnRT,N240239_1,,,,N240239_1_act,
ScnRT,N190114_1,,,,N190114_1_act,
ScnRT,N240241_1,,,,N240241_1_act,
ScnRT,N240244_1,,,,N240244_1_act,
ScnRT,N240248_1,,,,N240248_1_act,
ScnRT,N220174_1,,,,N220174_1_act,
ScnRT,N240250_1,,,,N240250_1_act,
ScnRT,N160263_1,,,,N160263_1_act,
ScnRT,N240255_1,,,,N240255_1_act,
ScnRT,N240256_1,,,,N240256_1_act,
ScnRT,N240260_1,,,,N240260_1_act,
ScnRT,N240258_1,,,,N240258_1_act,
ScnRT,N240259_1,,,,N240259_1_act,
ScnRT,N240261_1,,,,N240261_1_act,
ScnRT,N150492_1,,,,N150492_1_act,
ScnRT,N190118_1,,,,N190118_1_act,
ScnRT,N240266_1,,,,N240266_1_act,
ScnRT,N240269_1,,,,N240269_1_act,
ScnRT,N220176_1,,,,N220176_1_act,
ScnRT,N220178_1,,,,N220178_1_act,
ScnRT,N220181_1,,,,N220181_1_act,
ScnRT,N160270_1,,,,N160270_1_act,
ScnRT,N240272_1,,,,N240272_1_act,
ScnRT,N220183_1,,,,N220183_1_act,
ScnRT,N220186_1,,,,N220186_1_act,
ScnRT,N190120_1,,,,N190120_1_act,
ScnRT,N220191_2,,,,N220191_2_act,
ScnRT,N240275_1,,,,N240275_1_act,
ScnRT,N240278_2,,,,N240278_2_act,
ScnRT,N160273_1,,,,N160273_1_act,
ScnRT,N240280_2,,,,N240280_2_act,
ScnRT,N160275_1,,,,N160275_1_act,
ScnRT,N240282_1,,,,N240282_1_act,
ScnRT,N150496_1,,,,N150496_1_act,
ScnRT,N120490_1,,,,N120490_1_act,
ScnRT,N160278_1,,,,N160278_1_act,
ScnRT,N180119_1,,,,N180119_1_act,
ScnRT,N240284_1,,,,N240284_1_act,
ScnRT,N240285_1,,,,N240285_1_act,
ScnRT,N220195_1,,,,N220195_1_act,
ScnRT,N150499_1,,,,N150499_1_act,
ScnRT,N200179_1,,,,N200179_1_act,
ScnRT,N140377_1,,,,N140377_1_act,
ScnRT,N200181_1,,,,N200181_1_act,
ScnRT,N200184_1,,,,N200184_1_act,
ScnRT,N200186_1,,,,N200186_1_act,
ScnRT,N160281_1,,,,N160281_1_act,
ScnRT,N150502_1,,,,N150502_1_act,
ScnRT,N150505_1,,,,N150505_1_act,
ScnRT,N190123_1,,,,N190123_1_act,
ScnRT,N190124_1,,,,N190124_1_act,
ScnRT,N120493_1,,,,N120493_1_act,
ScnRT,N180121_1,,,,N180121_1_act,
ScnRT,N120498_1,,,,N120498_1_act,
ScnRT,N120500_1,,,,N120500_1_act,
ScnRT,N150507_1,,,,N150507_1_act,
ScnRT,N190129_1,,,,N190129_1_act,
ScnRT,N210346_1,,,,N210346_1_act,
ScnRT,N150510_1,,,,N150510_1_act,
ScnRT,N120503_2,,,,N120503_2_act,
ScnRT,N190132_1,,,,N190132_1_act,
ScnRT,N160286_1,,,,N160286_1_act,
ScnRT,N190134_1,,,,N190134_1_act,
ScnRT,N120507_1,,,,N120507_1_act,
ScnRT,N190136_1,,,,N190136_1_act,
ScnRT,N190139_1,,,,N190139_1_act,
ScnRT,N190142_1,,,,N190142_1_act,
ScnRT,N190145_1,,,,N190145_1_act,
ScnRT,N190147_1,,,,N190147_1_act,
ScnRT,N190149_1,,,,N190149_1_act,
ScnRT,N190152_1,,,,N190152_1_act,
ScnRT,N150512_1,,,,N150512_1_act,
ScnRT,N190155_1,,,,N190155_1_act,
ScnRT,N150515_1,,,,N150515_1_act,
ScnRT,N160288_1,,,,N160288_1_act,
ScnRT,N200189_1,,,,N200189_1_act,
ScnRT,N190157_1,,,,N190157_1_act,
ScnRT,N200192_1,,,,N200192_1_act,
ScnRT,N160291_1,,,,N160291_1_act,
ScnRT,N120512_1,,,,N120512_1_act,
ScnRT,N220206_1,,,,N220206_1_act,
ScnRT,N240288_1,,,,N240288_1_act,
ScnRT,N150517_1,,,,N150517_1_act,
ScnRT,N190159_1,,,,N190159_1_act,
ScnRT,N180123_1,,,,N180123_1_act,
ScnRT,N180126_1,,,,N180126_1_act,
ScnRT,N220209_1,,,,N220209_1_act,
ScnRT,N190162_1,,,,N190162_1_act,
ScnRT,N210349_1,,,,N210349_1_act,
ScnRT,N190165_1,,,,N190165_1_act,
ScnRT,N180128_1,,,,N180128_1_act,
ScnRT,N200204_1,,,,N200204_1_act,
ScnRT,N150520_1,,,,N150520_1_act,
ScnRT,N190167_1,,,,N190167_1_act,
ScnRT,N190169_1,,,,N190169_1_act,
ScnRT,N220214_1,,,,N220214_1_act,
ScnRT,N220216_1,,,,N220216_1_act,
ScnRT,N220219_1,,,,N220219_1_act,
ScnRT,N220222_1,,,,N220222_1_act,
ScnRT,N200207_1,,,,N200207_1_act,
ScnRT,N190172_1,,,,N190172_1_act,
ScnRT,N180131_1,,,,N180131_1_act,
ScnRT,N220225_2,,,,N220225_2_act,
ScnRT,N240291_1,,,,N240291_1_act,
ScnRT,N190177_1,,,,N190177_1_act,
ScnRT,N150528_1,,,,N150528_1_act,
ScnRT,N240293_1,,,,N240293_1_act,
ScnRT,N190182_1,,,,N190182_1_act,
ScnRT,N220228_1,,,,N220228_1_act,
ScnRT,N220230_1,,,,N220230_1_act,
ScnRT,N150531_1,,,,N150531_1_act,
ScnRT,N220234_1,,,,N220234_1_act,
ScnRT,N180134_1,,,,N180134_1_act,
ScnRT,N190185_1,,,,N190185_1_act,
ScnRT,N240296_1,,,,N240296_1_act,
ScnRT,N190190_1,,,,N190190_1_act,
ScnRT,N240301_1,,,,N240301_1_act,
ScnRT,N190193_1,,,,N190193_1_act,
ScnRT,N150534_1,,,,N150534_1_act,
ScnRT,N240304_1,,,,N240304_1_act,
ScnRT,N240307_1,,,,N240307_1_act,
ScnRT,N210354_1,,,,N210354_1_act,
ScnRT,N160301_1,,,,N160301_1_act,
ScnRT,N220245_1,,,,N220245_1_act,
ScnRT,N190196_1,,,,N190196_1_act,
ScnRT,N190198_1,,,,N190198_1_act,
ScnRT,N170577_1,,,,N170577_1_act,
ScnRT,N170579_1,,,,N170579_1_act,
ScnRT,N160303_1,,,,N160303_1_act,
ScnRT,N240312_1,,,,N240312_1_act,
ScnRT,N250376_1,,,,N250376_1_act,
ScnRT,N180137_1,,,,N180137_1_act,
ScnRT,N170583_1,,,,N170583_1_act,
ScnRT,N220250_1,,,,N220250_1_act,
ScnRT,N190201_1,,,,N190201_1_act,
ScnRT,N180140_1,,,,N180140_1_act,
ScnRT,N240317_1,,,,N240317_1_act,
ScnRT,N150549_1,,,,N150549_1_act,
ScnRT,N180143_1,,,,N180143_1_act,
ScnRT,N240320_1,,,,N240320_1_act,
ScnRT,N150552_1,,,,N150552_1_act,
ScnRT,N220253_1,,,,N220253_1_act,
ScnRT,N220256_1,,,,N220256_1_act,
ScnRT,N190206_1,,,,N190206_1_act,
ScnRT,N180145_1,,,,N180145_1_act,
ScnRT,N190209_1,,,,N190209_1_act,
ScnRT,N150554_1,,,,N150554_1_act,
