Injector,MinDispatch,MinOn,MinOff,MinTime,BaseCost,DefaultMustRun,HotStartCost,WarmStartCost,ColdStartCost,TimeToWarm,TimeToCold,HotUpTime,WarmUpTime,ColdUpTime
N140337_1,95.000,8,4.5,0,0,0,1428.000,1428.000,1428.000,5,40,0,0,1
N140339_1,92.000,8,4.5,0,0,0,21617.000,27012.100,31337.900,5,40,1.5,3,12
N140340_1,55.000,8,4.5,0,0,0,21532.000,26927.100,31252.900,5,40,0,0,0
N140350_1,23.000,8,4.5,0,0,0,1462.250,1462.250,1462.250,5,40,0,0,1
N140350_2,21.000,8,4.5,0,0,0,280.500,280.500,280.500,5,40,0,0,1
N140351_1,12.500,8,4.5,0,0,0,234.600,234.600,234.600,5,40,0,0,0.1667
N140351_2,11.000,8,4.5,0,0,0,221.850,221.850,221.850,5,40,0,0,0.1667
N140357_1,65.000,8,4.5,0,0,0,26569.180,36612.060,51676.380,5,40,0,0,0.1667
N140358_1,105.000,8,4.5,0,0,0,1436.500,1436.500,1436.500,5,40,0,0,0.1667
N140359_1,105.000,8,4.5,0,0,0,1436.500,1436.500,1436.500,5,40,0,0,0.1667
N140361_1,108.733,8,4.5,0,0,0,6605.600,8530.870,12692.590,5,40,0,0,0.1667
N140362_1,71.371,8,4.5,0,0,0,10000.000,10000.000,10000.000,5,40,0,0,0.1667
N140363_1,71.371,8,4.5,0,0,0,10000.000,10000.000,10000.000,5,40,0,0,0.1667
N150428_1,36.000,6,4,0,0,0,15977.000,26307.900,29933.300,4,48,0,0,1
N150429_1,46.000,6,4,0,0,0,15080.100,21870.900,23804.700,4,48,0,0,1
N150431_1,121.000,6,4,0,0,0,25706.000,25706.000,30446.000,4,48,0,0,1
N150433_1,184.000,6,4,0,0,0,14372.000,16314.000,16314.000,4,48,0,0,1
N150437_1,45.000,6,4,0,0,0,27107.180,37150.060,52214.380,4,48,0,0,0.1667
N150439_1,20.000,6,4,0,0,0,7756.000,10386.000,14804.000,4,48,0,0,1
N150441_1,1192.950,24,48,0,0,1,0,0,0,0,0,0,0,0
N150442_1,1183.050,24,48,0,0,1,0,0,0,0,0,0,0,0
N150451_1,2.000,8,4.5,0,0,0,2717.450,2717.450,2717.450,5,40,0,0,1
N150452_1,2.000,8,4.5,0,0,0,2717.450,2717.450,2717.450,5,40,0,0,1
N150454_1,2.000,8,4.5,0,0,0,2717.450,2717.450,2717.450,5,40,0,0,1
N150454_2,2.000,8,4.5,0,0,0,1144.500,1144.500,1144.500,5,40,0,0,1
N150462_1,100.000,8,4.5,0,0,0,21634.000,27029.100,31354.900,5,40,1.5,3,3
N150463_1,100.000,8,4.5,0,0,0,20184.000,20184.000,20184.000,5,40,2,3.5,3.5
N150476_1,84.000,8,4.5,0,0,0,14371.000,15812.740,17186.950,5,40,2,3.5,3.5
N150477_1,84.000,8,4.5,0,0,0,16838.250,18580.250,18581.250,5,40,0,0,0.1667
N150478_1,84.000,8,4.5,0,0,0,16838.250,18580.250,18581.250,5,40,0,0,0.1667
N150481_1,60.000,8,4.5,0,0,0,17805.250,19306.990,20651.200,5,40,0,0,0.1667
N150482_1,60.000,8,4.5,0,0,0,17805.250,19306.990,20651.200,5,40,0,0,0.1667
N150483_1,164.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,1.5,3,12
N150484_1,164.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,1
N150485_1,164.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,1.5,3,12
N150486_1,164.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,1.5,3,12
N150488_1,130.000,8,4.5,0,0,0,14695.100,21485.900,23419.700,5,40,0,0,0.1667
N150489_1,85.000,8,4.5,0,0,0,8518.100,10443.370,14605.090,5,40,0,0,0.1667
N150490_1,85.000,8,4.5,0,0,0,8518.100,10443.370,14605.090,5,40,0,0,0.1667
N150524_1,157.016,8,4.5,0,0,0,19605.890,27688.970,37560.550,5,40,1.5,3,12
N150525_1,157.735,8,4.5,0,0,0,19618.640,27701.720,37573.300,5,40,1.5,3,12
N150541_1,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,0.1667
N150541_2,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,0.1667
N150542_1,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,0.1667
N150543_1,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,0
N150543_2,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,12
N150544_1,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,12
N150544_2,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,1
N150545_1,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,1
N150545_2,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,0.1667
N150546_1,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,0.1667
N150546_2,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,0
N150547_1,9.005,8,4.5,0,0,0,2550.000,2550.000,2550.000,5,40,0,0,0
N160189_1,100.000,8,4.5,0,0,0,19531.090,27614.170,37485.750,5,40,0,0,0
N160190_1,60.000,8,4.5,0,0,0,21583.000,26978.100,31303.900,5,40,0,0,0
N160191_1,60.000,8,4.5,0,0,0,21583.000,26978.100,31303.900,5,40,0,0,1
N160194_1,120.000,8,4.5,0,0,0,26594.680,36637.560,51701.880,5,40,1.5,3,3
N160195_1,110.000,8,4.5,0,0,0,3372.500,3372.500,3372.500,5,40,2,3.5,3.5
N160198_1,8.000,8,4.5,0,0,0,416.500,416.500,416.500,5,40,0,0,1
N160199_1,8.000,8,4.5,0,0,0,416.500,416.500,416.500,5,40,0,0,1
N160199_2,8.000,8,4.5,0,0,0,1259.570,1259.570,1259.570,5,40,0,0,0.1667
N160200_1,7.000,8,4.5,0,0,0,314.500,314.500,314.500,5,40,0,0,0.1667
N160206_1,60.000,8,4.5,0,0,0,21583.000,26978.100,31303.900,5,40,0,0,0.1667
N160207_1,60.000,8,4.5,0,0,0,21583.000,26978.100,31303.900,5,40,0,0,0.1667
N160208_1,110.000,6,4,0,0,0,18336.000,19837.740,21181.950,4,48,0,0,0.1667
N160210_1,175.000,8,8,0,0,0,10778.510,14020.310,21840.500,12,40,0,0,0.1667
N160216_1,60.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,1
N160217_1,60.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,1
N160218_1,60.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,1
N160219_1,63.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,1
N160220_1,63.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,1
N160221_1,60.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,1
N160222_1,10.000,8,4.5,0,0,0,488.750,488.750,488.750,5,40,0,0,0.1667
N160223_1,14.000,8,4.5,0,0,0,1347.050,1347.050,1347.050,5,40,0,0,0.1667
N160223_2,20.000,8,4.5,0,0,0,272.000,272.000,272.000,5,40,0,0,0.1667
N160224_1,14.000,8,4.5,0,0,0,242.250,242.250,242.250,5,40,0,0,0.1667
N160236_1,17.000,8,4.5,0,0,0,255.000,255.000,255.000,5,40,0,0,1
N160236_2,20.000,8,4.5,0,0,0,255.000,255.000,255.000,5,40,0,0,1
N160237_1,17.000,8,4.5,0,0,0,255.000,255.000,255.000,5,40,0,0,1
N160249_1,90.000,8,4.5,0,0,0,11198.500,11198.500,11198.500,5,40,0,0,0.1667
N160250_1,90.000,8,4.5,0,0,0,11190.000,11190.000,11190.000,5,40,0,0,0.1667
N160251_1,5.000,8,4.5,0,0,0,722.500,722.500,722.500,5,40,0,0,0.1667
N160253_1,95.000,8,4.5,0,0,0,21540.500,26935.600,31261.400,5,40,0,0,1
N160255_1,15.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,1
N160258_1,74.245,8,4.5,0,0,0,21566.000,26961.100,31286.900,5,40,0,0,0.1667
N160259_1,74.245,8,4.5,0,0,0,21566.000,26961.100,31286.900,5,40,0,0,0.1667
N160260_1,71.850,8,4.5,0,0,0,21523.500,26918.600,31244.400,5,40,0,0,0.1667
N160266_1,43.000,6,4,0,0,0,11431.000,11431.000,11431.000,4,48,0,0,0.1667
N160267_1,43.000,6,4,0,0,0,11431.000,11431.000,11431.000,4,48,0,0,0.1667
N160297_1,44.000,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,1
N160298_1,44.000,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,1
N170518_1,48.000,6,4,0,0,0,21668.700,34709.600,40534.300,4,48,2,3.5,3.5
N170519_1,56.000,6,4,0,0,0,24101.300,29603.500,31121.200,4,48,2,3.5,3.5
N170522_1,50.000,6,4,0,0,0,3000.000,3000.000,3000.000,4,48,0,0,1
N170523_1,25.000,6,4,0,0,0,51380.000,51380.000,51380.000,4,48,0,0,1
N170524_1,20.000,6,4,0,0,0,51070.000,51070.000,51070.000,4,48,2,3.5,12
N170529_2,13.000,6,4,0,0,0,410.000,410.000,410.000,4,48,0,0,0.1667
N170530_1,10.000,6,4,0,0,0,230.000,230.000,230.000,4,48,0,0,0.1667
N170530_2,10.000,6,4,0,0,0,180.000,180.000,180.000,4,48,0,0,0.1667
N170532_1,10.000,6,4,0,0,0,610.000,610.000,610.000,4,48,0,0,0.1667
N170533_1,10.000,6,4,0,0,0,610.000,610.000,610.000,4,48,0,0,0.1667
N170540_1,40.000,8,4.5,0,0,0,2913.000,2913.000,2913.000,5,40,1.5,3,3
N170541_1,20.000,8,4.5,0,0,0,2913.000,2913.000,2913.000,5,40,2,3.5,3.5
N170542_1,40.000,8,4.5,0,0,0,2930.000,2930.000,2930.000,5,40,0,0,1
N170550_1,65.000,8,4.5,0,0,0,20141.000,21883.000,21894.000,5,40,0,0,0.1667
N170551_1,65.000,8,4.5,0,0,0,20141.000,21883.000,21894.000,5,40,0,0,0.1667
N170552_1,90.000,8,4.5,0,0,0,21617.000,27012.100,31337.900,5,40,0,0,0.1667
N170553_1,90.000,8,4.5,0,0,0,21549.000,26944.100,31269.900,5,40,0,0,0.1667
N170554_1,90.000,8,4.5,0,0,0,21549.000,26944.100,31269.900,5,40,0,0,0.1667
N170555_1,90.000,8,4.5,0,0,0,21617.000,27012.100,31337.900,5,40,0,0,0.1667
N170564_1,135.000,8,4.5,0,0,0,20158.000,21900.000,21911.000,5,40,0,0,0.1667
N170565_1,135.000,8,4.5,0,0,0,20149.500,21891.500,21902.500,5,40,0,0,0.1667
N200156_1,32.000,8,4.5,0,0,0,357.000,357.000,357.000,5,40,0,0,1
N200156_2,15.000,8,4.5,0,0,0,2720.000,2720.000,2720.000,5,40,2,3.5,3.5
N200168_1,135.000,8,4.5,0,0,0,8484.100,10409.370,14571.090,5,40,0,0,0.1667
N200169_1,135.000,8,4.5,0,0,0,8484.100,10409.370,14571.090,5,40,0,0,0.1667
N200172_1,82.388,8,4.5,0,0,0,26569.180,36612.060,51676.380,5,40,0,0,0.1667
N200173_1,71.371,8,4.5,0,0,0,11266.500,11266.500,11266.500,5,40,0,0,0.1667
N200174_1,71.371,8,4.5,0,0,0,11266.500,11266.500,11266.500,5,40,0,0,1
N210327_1,65.000,8,4.5,0,0,0,26807.180,36850.060,51914.380,5,40,0,0,0.1667
N210328_1,100.000,8,4.5,0,0,0,21600.000,26995.100,31320.900,5,40,0,0,1
N210329_1,100.000,8,4.5,0,0,0,21600.000,26995.100,31320.900,5,40,0,0,1
N210330_1,100.000,8,4.5,0,0,0,21557.500,26952.600,31278.400,5,40,0,0,0.1667
N210331_1,65.000,8,4.5,0,0,0,731.000,731.000,731.000,5,40,0,0,0.1667
N210334_1,360.000,8,8,0,0,0,10724.900,10724.900,10724.900,12,72,0,0,0.1667
N210336_1,70.000,8,4.5,0,0,0,19471.590,27554.670,37426.250,5,40,0,0,0.1667
N210337_1,70.000,8,4.5,0,0,0,19471.590,27554.670,37426.250,5,40,0,0,0.1667
N210339_1,140.000,8,4.5,0,0,0,16825.500,18567.500,18568.500,5,40,0,0,0.1667
N210340_1,140.000,8,4.5,0,0,0,16825.500,18567.500,18568.500,5,40,0,0,0.1667
N210341_1,140.000,8,4.5,0,0,0,16825.500,18567.500,18568.500,5,40,0,0,0.1667
N220132_1,45.000,8,4.5,0,0,0,603.500,603.500,603.500,5,40,0,0,1
N220133_1,45.000,8,4.5,0,0,0,603.500,603.500,603.500,5,40,0,0,1
N220134_1,40.000,8,4.5,0,0,0,595.000,595.000,595.000,5,40,0,0,0
N220142_1,53.300,8,4.5,0,0,0,20158.000,21900.000,21911.000,5,40,0,0,0.1667
N220143_1,55.600,8,4.5,0,0,0,20148.650,21890.650,21901.650,5,40,0,0,0.1667
N220144_1,84.800,8,4.5,0,0,0,21625.500,27020.600,31346.400,5,40,0,0,0.1667
N220145_1,82.700,8,4.5,0,0,0,21553.250,26948.350,31274.150,5,40,0,0,0.1667
N220146_1,92.200,8,4.5,0,0,0,11235.050,11235.050,11235.050,5,40,0,0,0.1667
N220147_1,95.200,8,4.5,0,0,0,11221.450,11221.450,11221.450,5,40,0,0,0.1667
N220162_1,58.000,8,4.5,0,0,0,8833.850,8833.850,8833.850,5,40,2,3.5,12
N220163_1,58.000,8,4.5,0,0,0,8833.850,8833.850,8833.850,5,40,2,3.5,12
N220164_1,55.000,8,4.5,0,0,0,595.000,595.000,595.000,5,40,1.5,3,12
N220165_1,55.000,8,4.5,0,0,0,595.000,595.000,595.000,5,40,0,0,0.1667
N220166_1,55.000,8,4.5,0,0,0,578.000,578.000,578.000,5,40,0,0,0.1667
N220167_1,55.000,8,4.5,0,0,0,578.000,578.000,578.000,5,40,0,0,0.1667
N230259_1,258.000,8,8,0,0,0,9867.000,9867.000,9867.000,12,40,0,0,0.1667
N230260_1,332.400,8,8,0,0,0,9556.500,9556.500,9556.500,12,40,0,0,0.1667
N230264_1,156.000,8,8,0,0,0,6785.000,6785.000,6785.000,12,40,1.5,3.5,12
N230265_1,156.000,8,8,0,0,0,6785.000,6785.000,6785.000,12,40,1.5,3.5,12
N230271_1,422.000,8,8,0,0,0,9832.500,9832.500,9832.500,12,72,1.5,3.5,12
N230272_1,425.000,8,8,0,0,0,9832.500,9832.500,9832.500,12,72,0,0,1
N230276_1,12.000,6,4,0,0,0,4100.000,4100.000,4100.000,4,48,0,0,0.1667
N230281_1,80.000,8,8,0,0,0,2432.000,2432.000,2432.000,12,40,0,0,1
N230282_1,80.000,8,8,0,0,0,2448.000,2448.000,2448.000,12,40,0,0,1
N230284_1,60.000,8,4.5,0,0,0,9009.310,15528.420,24355.330,5,40,0,0,1
N230285_1,90.000,8,4.5,0,0,0,21566.000,26961.100,31286.900,5,40,0,0,0.1667
