ReserveType,Injector,MaxReserve,ReduceRamp,Cost
OpRsv,N120463_1,420.000,0,
OpRsv,N120467_1,391.000,0,
OpRsv,N120469_1,785.000,0,
OpRsv,N120470_1,560.000,0,
OpRsv,N120472_1,190.000,0,
OpRsv,N120473_1,164.000,0,
OpRsv,N120474_1,164.000,0,
OpRsv,N130351_1,568.000,0,
OpRsv,N130352_1,118.000,0,
OpRsv,N130353_1,122.000,0,
OpRsv,N130356_1,114.400,0,
OpRsv,N130359_1,408.000,0,
OpRsv,N130360_1,408.000,0,
OpRsv,N130361_1,167.000,0,
OpRsv,N130362_1,159.000,0,
OpRsv,N130363_1,159.000,0,
OpRsv,N130364_1,167.000,0,
OpRsv,N130365_1,159.000,0,
OpRsv,N130366_1,159.000,0,
OpRsv,N140308_1,404.000,0,
OpRsv,N140309_1,320.000,0,
OpRsv,N140332_1,136.000,0,
OpRsv,N140333_1,136.000,0,
OpRsv,N140335_1,180.000,0,
OpRsv,N140336_1,168.000,0,
OpRsv,N140337_1,168.000,0,
OpRsv,N140339_1,161.000,0,
OpRsv,N140340_1,151.000,0,
OpRsv,N140350_1,46.500,0,
OpRsv,N140350_2,33.000,0,
OpRsv,N140351_1,27.600,0,
OpRsv,N140351_2,26.100,0,
OpRsv,N140357_1,172.000,0,
OpRsv,N140358_1,169.000,0,
OpRsv,N140359_1,169.000,0,
OpRsv,N140361_1,227.000,0,
OpRsv,N140362_1,149.000,0,
OpRsv,N140363_1,149.000,0,
OpRsv,N150428_1,390.000,0,
OpRsv,N150429_1,234.000,0,
OpRsv,N150431_1,435.000,0,
OpRsv,N150433_1,395.000,0,
OpRsv,N150437_1,200.000,0,
OpRsv,N150439_1,66.000,0,
OpRsv,N150451_1,19.700,0,
OpRsv,N150452_1,19.700,0,
OpRsv,N150454_1,19.700,0,
OpRsv,N150454_2,17.000,0,
OpRsv,N150462_1,163.000,0,
OpRsv,N150463_1,104.000,0,
OpRsv,N150476_1,280.000,0,
OpRsv,N150477_1,212.500,0,
OpRsv,N150478_1,212.500,0,
OpRsv,N150481_1,290.500,0,
OpRsv,N150482_1,290.500,0,
OpRsv,N150483_1,165.000,0,
OpRsv,N150484_1,165.000,0,
OpRsv,N150485_1,165.000,0,
OpRsv,N150486_1,165.000,0,
OpRsv,N150488_1,230.000,0,
OpRsv,N150489_1,225.000,0,
OpRsv,N150490_1,225.000,0,
OpRsv,N150524_1,327.800,0,
OpRsv,N150525_1,329.300,0,
OpRsv,N150541_1,18.800,0,
OpRsv,N150541_2,18.800,0,
OpRsv,N150542_1,18.800,0,
OpRsv,N150543_1,18.800,0,
OpRsv,N150543_2,18.800,0,
OpRsv,N150544_1,18.800,0,
OpRsv,N150544_2,18.800,0,
OpRsv,N150545_1,18.800,0,
OpRsv,N150545_2,18.800,0,
OpRsv,N150546_1,18.800,0,
OpRsv,N150546_2,18.800,0,
OpRsv,N150547_1,18.800,0,
OpRsv,N160189_1,319.000,0,
OpRsv,N160190_1,157.000,0,
OpRsv,N160191_1,157.000,0,
OpRsv,N160194_1,175.000,0,
OpRsv,N160195_1,125.000,0,
OpRsv,N160198_1,49.000,0,
OpRsv,N160199_1,49.000,0,
OpRsv,N160199_2,48.000,0,
OpRsv,N160200_1,37.000,0,
OpRsv,N160206_1,157.000,0,
OpRsv,N160207_1,157.000,0,
OpRsv,N160208_1,300.000,0,
OpRsv,N160210_1,655.000,0,
OpRsv,N160216_1,72.000,0,
OpRsv,N160217_1,72.000,0,
OpRsv,N160218_1,72.000,0,
OpRsv,N160219_1,72.000,0,
OpRsv,N160220_1,72.000,0,
OpRsv,N160221_1,72.000,0,
OpRsv,N160222_1,57.500,0,
OpRsv,N160223_1,47.300,0,
OpRsv,N160223_2,32.000,0,
OpRsv,N160224_1,28.500,0,
OpRsv,N160236_1,30.000,0,
OpRsv,N160236_2,30.000,0,
OpRsv,N160237_1,30.000,0,
OpRsv,N160249_1,141.000,0,
OpRsv,N160250_1,140.000,0,
OpRsv,N160251_1,85.000,0,
OpRsv,N160253_1,152.000,0,
OpRsv,N160255_1,165.000,0,
OpRsv,N160258_1,155.000,0,
OpRsv,N160259_1,155.000,0,
OpRsv,N160260_1,150.000,0,
OpRsv,N160266_1,143.100,0,
OpRsv,N160267_1,143.100,0,
OpRsv,N160297_1,50.000,0,
OpRsv,N160298_1,50.000,0,
OpRsv,N170518_1,523.000,0,
OpRsv,N170519_1,392.000,0,
OpRsv,N170522_1,75.000,0,
OpRsv,N170523_1,138.000,0,
OpRsv,N170524_1,107.000,0,
OpRsv,N170529_2,41.000,0,
OpRsv,N170530_1,23.000,0,
OpRsv,N170530_2,18.000,0,
OpRsv,N170532_1,61.000,0,
OpRsv,N170533_1,61.000,0,
OpRsv,N170540_1,78.000,0,
OpRsv,N170541_1,78.000,0,
OpRsv,N170542_1,80.000,0,
OpRsv,N170550_1,204.000,0,
OpRsv,N170551_1,204.000,0,
OpRsv,N170552_1,161.000,0,
OpRsv,N170553_1,153.000,0,
OpRsv,N170554_1,153.000,0,
OpRsv,N170555_1,161.000,0,
OpRsv,N170564_1,206.000,0,
OpRsv,N170565_1,205.000,0,
OpRsv,N200156_1,42.000,0,
OpRsv,N200156_2,20.000,0,
OpRsv,N200168_1,221.000,0,
OpRsv,N200169_1,221.000,0,
OpRsv,N200172_1,172.000,0,
OpRsv,N200173_1,149.000,0,
OpRsv,N200174_1,149.000,0,
OpRsv,N210327_1,200.000,0,
OpRsv,N210328_1,159.000,0,
OpRsv,N210329_1,159.000,0,
OpRsv,N210330_1,154.000,0,
OpRsv,N210331_1,86.000,0,
OpRsv,N210334_1,932.600,0,
OpRsv,N210336_1,312.000,0,
OpRsv,N210337_1,312.000,0,
OpRsv,N210339_1,211.000,0,
OpRsv,N210340_1,211.000,0,
OpRsv,N210341_1,211.000,0,
OpRsv,N220132_1,71.000,0,
OpRsv,N220133_1,71.000,0,
OpRsv,N220134_1,70.000,0,
OpRsv,N220142_1,206.000,0,
OpRsv,N220143_1,204.900,0,
OpRsv,N220144_1,162.000,0,
OpRsv,N220145_1,153.500,0,
OpRsv,N220146_1,145.300,0,
OpRsv,N220147_1,143.700,0,
OpRsv,N220162_1,98.100,0,
OpRsv,N220163_1,98.100,0,
OpRsv,N220164_1,70.000,0,
OpRsv,N220165_1,70.000,0,
OpRsv,N220166_1,68.000,0,
OpRsv,N220167_1,68.000,0,
OpRsv,N230259_1,858.000,0,
OpRsv,N230260_1,831.000,0,
OpRsv,N230264_1,590.000,0,
OpRsv,N230265_1,590.000,0,
OpRsv,N230271_1,855.000,0,
OpRsv,N230272_1,855.000,0,
OpRsv,N230276_1,110.000,0,
OpRsv,N230281_1,152.000,0,
OpRsv,N230282_1,153.000,0,
OpRsv,N230284_1,395.000,0,
OpRsv,N230285_1,155.000,0,
OpRsv,N230286_1,155.000,0,
OpRsv,N230287_1,155.000,0,
OpRsv,N230290_1,32.400,0,
OpRsv,N230290_2,11.000,0,
OpRsv,N250347_1,502.000,0,
OpRsv,N250348_1,167.000,0,
OpRsv,N250354_1,235.000,0,
OpRsv,N250358_1,800.000,0,
OpRsv,N250359_1,805.000,0,
OpRsv,N250360_1,805.000,0,
OpRsv,N250363_1,147.000,0,
OpRsv,N250364_1,149.000,0,
OpRsv,N250365_1,147.000,0,
OpRsv,N250367_1,177.000,0,
OpRsv,N250368_1,172.000,0,
OpRsv,N250369_1,153.000,0,
OpRsv,N250370_1,153.000,0,
OpRsv,N250371_1,149.000,0,
OpRsv,N250372_1,149.000,0,
OpRsv,N250374_1,100.000,0,
OpRsv,N260208_1,260.000,0,
OpRsv,N260209_1,260.000,0,
OpRsv,N260210_1,260.000,0,
OpRsv,N260211_1,259.000,0,
OpRsv,N260212_1,279.000,0,
OpRsv,N260213_1,284.000,0,
OpRsv,N270207_1,323.000,0,
OpRsv,N270208_1,165.000,0,
OpRsv,N270209_1,154.000,0,
OpRsv,N270210_1,154.000,0,
OpRsv,N270212_1,210.000,0,
OpRsv,N270214_1,210.000,0,
OpRsv,N270215_1,211.000,0,
OpRsv,N270217_1,197.000,0,
OpRsv,N270218_1,197.000,0,
OpRsv,N270219_1,148.000,0,
OpRsv,N270220_1,148.000,0,
OpRsv,N270221_1,148.000,0,
OpRsv,N270222_1,148.000,0,
